6.24 Ratios,"6.24 a razon, de proporción",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requires student to solve a problem using ratios with specified scaffolded steps.,Requiere que el estudiante resuelva un problema usando proporciones con pasos específicos con andamios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show Your Work,Muestra tu trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Answers,Respuestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
given,dadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problem Name,Problem 1,Problem1-ESP,Problem 2,Problem2-ESP,Problem 3,Problem3-ESP,Problem 12,Problem12-ESP,Problem 13,Problem13-ESP,Problem 14,Problem14-ESP,Problem 15,Problem15-ESP,Problem 21,Problem21-ESP,Problem 4,Problem4-ESP,Problem 5,Problem5-ESP,Problem 6,Problem6-ESP,Problem 7,Problem7-ESP,Problem 8,Problem8-ESP,Problem 9,Problem9-ESP,Problem 10,Problem10-ESP,Problem 11,Problem11-ESP,Problem 16,Problem16-ESP,Problem 17,Problem17-ESP,Problem 18,Problem18-ESP,Problem 19,Problem19-ESP,Problem 20,Problem20-ESP
%(startStateNodeName)%,,,state7,state7,state4,state4,,,,,,,,,,,,,,,,,,,state2,Condición 2,,,,,,,,,,,,,,,,
%(1)%,"Jennifer went on a trip. When she had driven 7/10 of the distance, she had gone 140 miles.","Jennifer se fue de viaje. Cuando había conducido 7/10 de la distancia, había recorrido 140 millas.","Andrew goes to the gym to work out. When he's done 4/5 of his workout, he has exercised for 72 minutes.","Andrew va al gimnasio a hacer ejercicio. Cuando ha hecho 4/5 de su entrenamiento, se ha ejercitado durante 72 minutos.","Max is shoveling snow off of his driveway. After shoveling 15 feet, he was 3/4 done. What is the total length of his driveway?","Max está quitando nieve de su camino de entrada. Después de palear 15 pies, terminó 3/4. ¿Cuál es la longitud total de su camino de entrada?","Bruce goes to the swimming pool. When he has done 6/7 of his laps, he has swum 42 laps.","Bruce va a la piscina. Cuando ha hecho 6/7 de sus vueltas, ha nadado 42 vueltas.","Kristina needs to fill her car with gas for a road trip. Right now, it is 3/5 full. Kristina knows that when it is 3/5 full, there are 9 gallons of gas in the car.","Kristina necesita llenar su auto con gasolina para un viaje por carretera. En este momento, está lleno en 3/5. Kristina sabe que cuando está a 3/5 de su capacidad, hay 9 galones de gasolina en el auto.",Jessica has just finished 9/10 of her research paper in 45 minutes. How much time will it take her to finish the entire paper?,Jessica acaba de terminar 9/10 de su trabajo de investigación en 45 minutos. ¿Cuánto tiempo le llevará terminar todo el trabajo?,"Johnny is a student taking a flight from Los Angeles to Tokyo in a cultural exchange program. After 3652 miles, Johnny has completed 2/3 of his journey.","Johnny es un estudiante que toma un vuelo de Los Ángeles a Tokio en un programa de intercambio cultural. Después de 3652 millas, Johnny ha completado 2/3 de su viaje.","Annie's scout troop is selling boxes of cookies as a fundraiser for their trip to Orlando. They have sold 187 boxes of cookies in the first month, which is 11/15 of their goal.","La tropa scout de Annie está vendiendo cajas de galletas para recaudar fondos para su viaje a Orlando. Han vendido 187 cajas de galletas en el primer mes, que es el 15/11 de su objetivo.",Tom needs to make 400 copies and has made 375.,Tom necesita hacer 400 copias y ha hecho 375.,Jerome is baking 60 brownies and has finished 36 of them.,Jerome está horneando 60 brownies y ha terminado 36 de ellas.,Annie's scout troop has a goal of selling 250 boxes of cookies. They have sold 175 of them.,La tropa de exploradores de Annie tiene el objetivo de vender 250 cajas de galletas. Han vendido 175 de ellos.,"Thomas rides 8 blocks to school every day. Today, he stopped to rest after 6 blocks. ",Thomas viaja 8 cuadras a la escuela todos los días. Hoy se detuvo a descansar después de 6 cuadras.,"Amy rides 6 miles to school every day. Today, she stopped to rest 2/3 of the way there. How far had she ridden?","Amy viaja 6 millas a la escuela todos los días. Hoy, se detuvo a descansar 2/3 del camino. ¿Qué tan lejos había cabalgado?",Sarah has been assigned 27 homework problems for tomorrow. She was able to finish 5/9 of them in class.,,Harold is filling a swimming pool that holds 720 cubic feet of water. He stops to answer the phone when the pool is 5/8 full.,,Huck is painting a fence that is 45 feet long. He stopped to rest after painting 2/3 of the fence.,,"Leah's volleyball team, the Bee's Knees, is playing its rival team, the Mavericks. The first team to score 25 points wins the game. Leah's team has scored 4/5 of the points they need.",,"Joey the Zookeeper is in charge of buying elephant food in the San Diego Zoo. African elephants eat all types of vegetation, from grass and fruit to leaves and bark. In the zoo, each elephant eats 120 pounds of food each day. One of the elephants, Vince, had eaten 5/6 of his portion for the day.",,"Kristopher is practicing hockey drills before a big game. He wants to do a shooting drill for 32 minutes, but he stops 5/8 of the way into the drill for water. How much longer does he need to do the drill?",,Tom needs to make 400 copies and has made 15/16 of the total before the printer runs out of paper.,,Jerome is baking 60 brownies for his class party. He has finished 3/10 of them and needs to make more batter.,
%(2)%,How many miles had Jennifer driven?,¿Cuántas millas había conducido Jennifer?,How many minutes has Andrew been exercising?,¿Cuántos minutos ha estado haciendo ejercicio Andrew?,How many feet has Max shoveled?,¿Cuántos pies ha traspasado Max?,How many laps has Bruce swum?,¿Cuántas vueltas ha nadado Bruce?,How many gallons of gas are in the gas tank?,¿Cuántos galones de gasolina hay en el tanque de gasolina?,How long has Jessica been writing her paper?,¿Cuánto tiempo lleva Jessica escribiendo su artículo?,How many miles has Johnny flown?,¿Cuántas millas ha volado Johnny?,How many boxes of cookies has Annie's scout troop sold?,¿Cuántas cajas de galletas vendió la tropa de exploradores de Annie?,How many total copies is Tom going to make?,¿Cuántas copias en total va a hacer Tom?,How many total brownies is Jerome going to bake?,¿Cuántos brownies en total va a hornear Jerome?,How many boxes of cookies does Annie's scout troop want to sell?,¿Cuántas cajas de galletas quiere vender la tropa de exploradores de Annie?,How far did Thomas ride his bike to school every day?,¿Hasta dónde llegaba Thomas en bicicleta a la escuela todos los días?,How far did Amy ride her bike to school every day?,¿Hasta dónde llegaba Amy en bicicleta a la escuela todos los días?,How many math problems does Sarah have to do?,,How many cubic feet of water does the pool hold?,,How long is the fence in feet?,,How many points does the team need to win?,,How many pounds of food does Vince eat each day?,,How long does Kristopher want to do the drill?,,How many total copies is Tom going to make?,,How many total brownies is Jerome going to bake?,
%(3)%,What fraction of the distance had Jennifer driven?,¿Qué fracción de la distancia había recorrido Jennifer?,What fraction of his workout has he done?,¿Qué fracción de su entrenamiento ha realizado?,What fraction of his driveway has Max shoveled?,¿Qué fracción de su camino de entrada ha removido Max?,What fraction of his laps has he done?,¿Qué fracción de sus vueltas ha hecho?,What fraction of the gas tank is filled?,¿Qué fracción del tanque de gasolina está llena?,What fraction of the paper is complete?,¿Qué fracción del papel está completa?,What fraction of the distance has Johnny flown?,¿Qué fracción de la distancia ha volado Johnny?,What fraction of the goal have they sold?,¿Qué fracción del objetivo han vendido?,How many copies has Tom made?,¿Cuántas copias ha hecho Tom?,How many brownies has Jerome baked?,¿Cuántos brownies ha horneado Jerome?,How many boxes of cookie have they sold?,¿Cuántas cajas de galletas han vendido?,How many blocks did Thomas ride before resting?,¿Cuántas cuadras recorrió Thomas antes de descansar?,What fraction of the distance did Amy ride before resting?,¿Qué fracción de la distancia recorrió Amy antes de descansar?,What fraction of the problems has she already done?,,What fraction of the pool did Harold fill before stopping?,,What fraction of the fence did Huck paint before resting?,,What fraction of points has the team already scored?,,What fraction of food has he already eaten?,,What fraction of the drill has he done?,,What fraction of the total number of copies has Tom made?,,What fraction of the total number has Jerome baked?,
%(4)%,How many miles was 1/10 of the trip?,¿Cuántas millas fue 1/10 del viaje?,How many minutes is 1/5 of Andrew's workout?,¿Cuántos minutos es 1/5 del entrenamiento de Andrew?,How many feet is 1/4 of the length of the driveway?,¿Cuántos pies es 1/4 de la longitud del camino de entrada?,How many laps is 1/7 of Bruce's swim?,¿Cuántas vueltas son 1/7 de la natación de Bruce?,How many gallons of gas is 1/5 of Kristina's gas tank?,¿Cuántos galones de gasolina son 1/5 del tanque de gasolina de Kristina?,How long does it take Jessica to write 1/10 of the paper?,¿Cuánto tiempo le toma a Jessica escribir 1/10 del artículo?,How many miles correspond to 1/3 of the journey?,¿Cuántas millas corresponden a 1/3 del viaje?,How many boxes is 1/15 of the goal?,¿Cuántas casillas es 1/15 del objetivo?,What ratio of the total number of copies has Tom made?,¿Qué proporción del número total de copias ha hecho Tom?,What ratio of the total number has Jerome baked?,¿Qué proporción del número total ha horneado Jerome?,What ratio of the total number have they sold?,¿Qué proporción del número total han vendido?,What ratio of the distance did he ride before resting?,¿Qué proporción de la distancia recorrió antes de descansar?,How many miles is 1/3 of the total distance?,¿Cuántas millas son 1/3 de la distancia total?,How many problems is 1/9 of the assignment?,,How many cubic feet is 1/8 of the pool?,,How many feet is 1/3 of the total length of the fence?,,How many points is 1/5 of the total?,,How many pounds of food is 1/6 of the total?,,How many minutes is 1/8 of the total?,,How many copies is 1/16 of the total.,,How many brownies is 1/10 of the total?,
%(5)%,How many total miles was Jennifer driving in this trip?,¿Cuántas millas en total condujo Jennifer en este viaje?,How long is Andrew's entire workout?,¿Cuánto dura todo el entrenamiento de Andrew?,What is the length of Max's driveway in feet?,¿Cuál es la longitud del camino de entrada de Max en pies?,How many laps will Bruce swim altogether?,¿Cuántas vueltas nadará Bruce en total?,How many gallons of gas does Kristina's gas tank hold?,¿Cuántos galones de gasolina tiene el tanque de gasolina de Kristina?,How long will it take Jessica to write the entire paper?,¿Cuánto tiempo le llevará a Jessica escribir todo el artículo?,How many miles is the total trip from Los Angeles to Tokyo?,¿Cuántas millas es el viaje total de Los Ángeles a Tokio?,How many boxes do they need to sell to reach the goal?,¿Cuántas cajas necesitan vender para alcanzar la meta?,How many copies does Tom still need to make?,¿Cuántas copias necesita todavía hacer Tom?,How many brownies does Jerome still need to bake?,¿Cuántos brownies todavía necesita hornear Jerome?,How many boxes of cookies do they still need to sell?,¿Cuántas cajas de galletas todavía necesitan vender?,How many more blocks does Thomas have left to ride?,¿Cuántas cuadras más le quedan a Thomas por recorrer?,How many miles did Amy ride before resting?,¿Cuántas millas recorrió Amy antes de descansar?,How many problems did Sarah finish in class?,,How many cubic feet of water are in the pool when he goes to answer the phone?,,How many feet did Huck paint before resting?,,How many points has the team scored?,,How many pounds of food has Vince already eaten?,,How many minutes has he already spent doing the drill?,,How many copies has Tom already made?,,How many brownies has Jerome already made?,
%(6)%,How many more miles did Jennifer have to drive?,¿Cuántas millas más tuvo que conducir Jennifer?,How much longer will he exercise?,¿Cuánto tiempo más hará ejercicio?,How many more feet does Max have left to shovel?,¿Cuántos pies más le quedan a Max para palear?,How many more laps will Bruce swim?,¿Cuántas vueltas más nadará Bruce?,How many gallons of gas does Kristina need to purchase to fill up her car's gas tank?,¿Cuántos galones de gasolina necesita comprar Kristina para llenar el tanque de gasolina de su auto?,How much longer will it take Jessica to write the paper?,¿Cuánto más tardará Jessica en escribir el artículo?,How many miles are left to complete the journey?,¿Cuántos kilómetros quedan para completar el viaje?,How many boxes of cookies do they still need to sell?,¿Cuántas cajas de galletas todavía necesitan vender?,,,,,,,,,How many more miles does Amy have left to ride?,¿Cuántas millas más le quedan por recorrer a Amy?,How many problems does she have left?,,How many cubic feet of water are left to fill?,,How many more feet does Huck have left to paint?,,How many more points does the team need to score?,,How many more pounds of food does Vince still have to eat?,,How many more minutes does he still have to do the drill?,,How many more copies does Tom still need to make?,,How many more brownies does Jerome need to make with the new batter?,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%(given)%,140,140,72,72,15,15,42,42,9,9,45,45,3652,3652,187,187,,,,,,,,,6,6,27,,720,,45,,25,,120,,32,,400,,60,
%(numer)%,7,7,4,4,3,3,6,6,3,3,9,9,2,2,11,11,375,375,36,36,175,175,6,6,2,2,5,,5,,2,,4,,5,,5,,15,,3,
