Problem Name	00bubble	00bubbleESP	01book	01bookESP	02cheese	02cheeseESP	03chain	03chainESP	04school	04schoolESP	05height	05heightESP	06fence	06fenceESP	07sandwich	07sandwichESP	08swim	08swimESP	09pie	09pieESP	10homework	10homeworkESP	11pizza	11pizzaESP	12charity	12charityESP	13school	13schoolESP	14candy	14candyESP	15sauce	15sauceESP	16chemistry	16chemistryESP	17salad	17saladESP	18prize	18prizeESP	19history	19historyESP
%(startStateNodeName)%	finalStep	finalStep	point2Set	point2Set	point1Set	point1Set																																		
%(statement)%	Ted figured out how far his friends in the neighborhood live from him. He measured the distance from his house to his friends' houses by fractions of a block. Which friend lives closer to Ted?	[google]Ted descubrió cuán lejos viven sus amigos en el vecindario. Medió la distancia desde su casa a las casas de sus amigos por fracciones de un bloque. ¿Qué amigo vive más cerca de Ted?	Levar and Laura are reading a novel as a class assignment. Use the number line to find out which student has read less of the novel.	Levar y Laura están leyendo una novela como tarea de clase. Utilice la recta numérica para averiguar qué estudiante ha leído menos de la novela.	Katie and Franklin each brought a piece of cheese to the school picnic. Katie and Franklin brought different types of cheese so it looks like they brought the same amount, but not necessarily the same weight. Katie claims that her cheese is heavier. Is this true?	Katie y Franklin llevaron cada uno un trozo de queso al picnic de la escuela. Katie y Franklin trajeron diferentes tipos de queso, por lo que parece que trajeron la misma cantidad, pero no necesariamente el mismo peso. Katie afirma que su queso es más pesado. ¿Es esto cierto?	Daryl and Rashad are making paper chains. After 5 minutes, Daryl and Rashad compared the lengths of their chains to see who was working faster. Who built a longer piece of paper chain in 5 minutes?	Daryl y Rashad están haciendo cadenas de papel. Después de 5 minutos, Daryl y Rashad compararon la longitud de sus cadenas para ver quién trabajaba más rápido. ¿Quién construyó una cadena de papel más larga en 5 minutos?	Christian and Miranda both go to Carmite Middle School. They measured the distance between their home and the school to figure out who lives closer to the school. Use the number line to find out.	Christian y Miranda van a la escuela secundaria Carmite. Midieron la distancia entre su casa y la escuela para averiguar quién vive más cerca de la escuela. Usa la recta numérica para averiguarlo.	Shandell and Nicole are not the same height, but they both grew quite a lot since they started sixth grade this year. They are comparing their amount of growth to see who has grown more. Use the number line to find out.	Shandell y Nicole no tienen la misma estatura, pero ambas crecieron bastante desde que comenzaron sexto grado este año. Están comparando su cantidad de crecimiento para ver quién ha crecido más. Usa la recta numérica para averiguarlo.	Kewana and Adam are earning money by painting both sides of a fence. When it was lunch time, they decided to compare who has painted more since they started. Use the number line to find out which student has painted more of the fence.	Kewana y Adam están ganando dinero pintando ambos lados de una cerca. Cuando llegó la hora del almuerzo, decidieron comparar quién ha pintado más desde que empezaron. Use la recta numérica para averiguar qué estudiante ha pintado más de la cerca.	Lamara and Orlando bought equal-sized fish sandwiches for lunch, and they are enjoying their sandwiches together. Use the number line to find out which student ate more of their sandwich.	Lamara y Orlando compraron sándwiches de pescado del mismo tamaño para el almuerzo y están disfrutando juntos de sus sándwiches. Use la recta numérica para averiguar qué estudiante comió más de su sándwich.	Bethany and John's coach needs to pick a fast swimmer for a certain competition. The coach told each of them to swim a mile.  After some time has passed, the coach decided to check on their progress. Use the number line to help the coach see who has swum more. 	[google]El entrenador de Bethany y John necesita elegir un nadador rápido para una cierta competencia. El entrenador les dijo a cada uno de ellos que nadara una milla. Después de pasar un tiempo, el entrenador decidió verificar su progreso. Use la línea numérica para ayudar al entrenador a ver quién ha nadado más.	Heather and Dave each received a small pie to enjoy. Heather likes to cut her pie into 4 pieces, and Dave likes to cut his pie into 8 pieces. After enjoying their snack, Heather and Dave compared their pie to see who has eaten less.	Heather y Dave recibieron cada uno un pequeño pastel para disfrutar. A Heather le gusta cortar su pastel en 4 pedazos, ya Dave le gusta cortar su pastel en 8 pedazos. Después de disfrutar de su bocadillo, Heather y Dave compararon su pastel para ver quién había comido menos.	Jeff and Shannon are working on their math homework, but Shannon feels Jeff is going ahead too fast without giving any help! So they decided to compare their homework to see if Jeff really was going ahead. Use the number lines to find out. 	[google]Jeff y Shannon están trabajando en su tarea de matemáticas, ¡pero Shannon siente que Jeff avanza demasiado rápido sin ayudar! Entonces decidieron comparar su tarea para ver si Jeff realmente iba adelante. Use las líneas numéricas para averiguarlo.	Chris and Tracy each ordered a pizza for lunch, but for some reason, Chris's pizza was divided into 6 slices, and Tracy's pizza was divided into 4 slices. Regardless, they enjoyed their lunch. Use the number line to find out which student ate more pizza.	Chris y Tracy pidieron cada uno una pizza para el almuerzo, pero por alguna razón, la pizza de Chris se dividió en 6 porciones y la pizza de Tracy se dividió en 4 porciones. Independientemente, disfrutaron de su almuerzo. Use la recta numérica para averiguar qué estudiante comió más pizza.	A local charity set up a running event for fund raising and a bunch of kids signed up to help. The longer the amount of time they run, the more money their sponsors will donate. 	[google]Una organización benéfica local estableció un evento en ejecución para la recaudación de fondos y un grupo de niños inscribidos para ayudar. Cuanto más tiempo sea la cantidad de tiempo, más dinero donarán sus patrocinadores.	Scott and Greg both are students at the Carmite Middle School. Scott thinks he is always late to school because he lives too far away. One day, they compared the distances they must travel to figure out who lives farther. 	[google]Scott y Greg son estudiantes de la escuela secundaria Carmite. Scott cree que siempre llega tarde a la escuela porque vive demasiado lejos. Un día, compararon las distancias que deben viajar para descubrir quién vive más lejos.	Russ and Jaime are buying bulk candy at the store.  The candy is sold by the pound. Use the number line to find out which student has less candy.	Russ y Jaime están comprando caramelos a granel en la tienda. El caramelo se vende por libra. Use la recta numérica para averiguar qué estudiante tiene menos dulces.	Dale and Liz are each making their own spaghetti sauce, and are using different amounts of ground beef to make it. If you wanted your sauce to have more ground beef, whose sauce should you choose? Use the number line to find out. 	[google]Dale y Liz están haciendo su propia salsa de espagueti, y están usando diferentes cantidades de carne molida para hacerlo. Si desea que su salsa tenga más carne molida, ¿de quién debe elegir? Use la línea numérica para averiguarlo.	Jason and Rabin are doing a chemistry experiment for a science class. They are in a step where they must add acid into a beaker, but Jason thinks the amount of acid Rabin is adding does not match with his; Jason thinks it's a little more. Use the number line to find out whether Jason is right. 	[google]Jason y Rabin están haciendo un experimento de química para una clase de ciencias. Están en un paso en el que deben agregar ácido a un vaso de precipitados, pero Jason cree que la cantidad de ácido que Rabin está agregando no coincide con el suyo; Jason piensa que es un poco más. Use la línea numérica para averiguar si Jason tiene razón.	Charlie is trying out the fruit salad that Todd and Caroline each made for the school picnic. Todd and Caroline used different recipes. Charlie wants to eat a salad with more cantaloupe.  Use the number line to find out whose salad Charlie should try.	Charlie está probando la ensalada de frutas que Todd y Caroline prepararon para el picnic de la escuela. Todd y Caroline usaron recetas diferentes. Charlie quiere comer una ensalada con más melón. Usa la recta numérica para averiguar qué ensalada debería probar Charlie.	Amy and Evan are searching for a prize that was hidden in the state park. After a long search, Evan found the prize, but not Amy. Amy is wondering whether she has not been searching long enough. Use the number line to find out.	Amy y Evan están buscando un premio que estaba escondido en el parque estatal. Después de una larga búsqueda, Evan encontró el premio, pero no Amy. Amy se pregunta si no ha estado buscando lo suficiente. Usa la recta numérica para averiguarlo.	Alicia and Christa are working on their history homework. They each finished their homework in a different amount of time. Use the number line to find out which student was working longer to finish the same homework.	Alicia y Christa están trabajando en su tarea de historia. Cada uno terminó su tarea en una cantidad de tiempo diferente. Use la recta numérica para averiguar qué estudiante estuvo trabajando más tiempo para terminar la misma tarea.
%(small-big)%	smaller	[google]menor	smaller	[google]menor	larger	[google]más grande	larger	[google]más grande	smaller	[google]menor	larger	[google]más grande	larger	[google]más grande	larger	[google]más grande	larger	[google]más grande	smaller	[google]menor	larger	[google]más grande	larger	[google]más grande	larger	[google]más grande	larger	[google]más grande	smaller	[google]menor	larger	[google]más grande	larger	[google]más grande	larger	[google]más grande	smaller	[google]menor	larger	[google]más grande
%(var1-statement)%	Jan's house is 1/3 of a block away.	[google]La casa de Jan está a 1/3 de una cuadra de distancia.	Levar has read 1/4 of the novel.  	[google]Levar ha leído 1/4 de la novela.	Katie's cheese weighs 2/5 of a pound.	El queso de Katie pesa 2/5 de libra.	Daryl's paper chain is 5/6 feet long.	La cadena de papel de Daryl mide 5/6 pies de largo.	Christian lives 4/10 of a mile from the school.	Christian vive a 4/10 de milla de la escuela.	Shandell grew 5/12 of an inch.	Shandell creció 5/12 de pulgada.	Kewana has painted 2/3 of one side of the fence.  	[google]Kewana ha pintado 2/3 de un lado de la cerca.	Lamara ate 2/3 of his sandwich.  	[google]Lamara se comió 2/3 de su sándwich.	Bethany swam 3/10 of a mile.  	[google]Bethany nadó 3/10 de una milla.	Heather has eaten 3/4 of her pie.	Heather se ha comido 3/4 de su pastel.	Jeff did 1/3 of his problems.  	[google]Jeff hizo 1/3 de sus problemas.	Chris ate 2/8 of the pizza.	Chris se comió 2/8 de la pizza.	Christin ran for 8/7 hours. 	[google]Christin corrió durante 8/7 horas.	Scott travels 13/10 miles to get to school.	Scott viaja 13/10 millas para llegar a la escuela.	Russ has 9/8 pounds.	Russ tiene 9/8 libras.	Dale is using 10/9 pounds of ground beef. 	[google]Dale está usando 10/9 libras de carne molida.	Jason is using 15/8 flasks of acid.  	[google]Jason está usando 15/8 matraces de ácido.	Todd has cut up 11/6 cantaloupes. 	[google]error	Amy has been searching for 3/2 hours.  	[google]error	Alicia has been working for 5/4 hours.  	[google]error
%(var2-statement)%	Jill's house is 1/5 of a block away.	[google]La casa de Jill está a 1/5 de una cuadra de distancia.	Laura has read 1/5 of the novel.  	[google]Laura ha leído 1/5 de la novela.	Franklin's cheese weighs 2/3 of a pound.	El queso de Franklin pesa 2/3 de libra.	Rashad's  paper chain is 4/5 feet long. 	[google]La cadena de papel de Rashad tiene 4/5 pies de largo.	Miranda lives 2/5 of a mile from the school.  	[google]Miranda vive a 2/5 de milla de la escuela.	Nicole grew 1/2 an inch.  	[google]Nicole creció 1/2 pulgada.	Adam has painted 4/7 of the other side of the fence.  	[google]Adam ha pintado 4/7 del otro lado de la cerca.	Orlando ate 2/4 of his sandwich.  	[google]Orlando se comió 2/4 de su sándwich.	John swam 1/3 of a mile.  	[google]John nadó 1/3 de una milla.	Dave has eaten 6/8 of his pie. 	[google]Dave ha comido 6/8 de su pastel.	Shannon did 2/9 of her problems.  	[google]Shannon hizo 2/9 de sus problemas.	Tracy ate 1/4 of the pizza.  	[google]Tracy se comió 1/4 de la pizza.	Trisha ran for 8/8 hours	Trisha corrió durante 8/8 horas	Greg travels 5/3 miles to get to school.  	[google]Greg viaja 5/3 millas para llegar a la escuela.	Jaime has 11/10 pounds.	Jaime tiene 11/10 libras.	Liz is using exactly 1 pound of ground beef.  	[google]Liz está usando exactamente 1 libra de carne molida.	Rabin is using 13/7 flasks of acid. 	[google]Rabin está usando 13/7 matraces de ácido.	Caroline has cut up 10/5 cantaloupes. 	[google]error	Evan has been searching for 6/4 hours.  	[google]error	Christa has been working for 4/5 hours.	Christa ha estado trabajando durante 4/5 horas.
%(line1)%	Block to Jan's house	[google]Bloque de la casa de Jan	Amount Levar read	Cantidad que leyó Levar	Weight of Katie's cheese	Peso del queso de Katie	Daryl's paper chain	Cadena de papel de Daryl	Mile from Christian's house	Milla de la casa de Christian	Shandell's growth	El crecimiento de Shandell	Amount Kewana painted	Cantidad que Kewana pintó	Amount Lamara ate	Cantidad que comió Lamara	Mile Bathany swam	Mile Bethany cisne	Amount Heather has eaten	Cantidad que Heather ha comido	Completion of Jeff's homework	Finalización de la tarea de Jeff	Amount Chris ate	Cantidad que Chris comió	Time Christin ran	El tiempo que Christin corrió	Distance Scott travels to school	Distancia que Scott viaja a la escuela	Pound of Russ's candy	Libra de caramelos de Russ	Pound of Dale's ground beef	Libra de carne molida de Dale	Acid in Jason's flask	Ácido en el frasco de Jason	Cantaloupes in Todd's salad	Melones en ensalada de Todd	Hours Amy searched	Horas que Amy buscó	Hours Alicia has been working	Horas que ha estado trabajando Alicia
%(line2)%	Block to Jill's house	[google]Bloque a la casa de Jill	Amount Laura read	Cantidad que leyó Laura	Weight of Franklin's cheese	Peso del queso Franklin	Rashad's paper chain	Cadena de papel de Rashad	Mile from Miranda's house	Milla de la casa de Miranda	Nicole's growth	El crecimiento de Nicole	Amount Adam painted	Cantidad que Adam pintó	Amount Orlando ate	Cantidad que Orlando comió	Mile John swam	Mile John nadó	Amount Dave has eaten	Cantidad que Dave ha comido	Completion of Shannon's homework	Finalización de la tarea de Shannon	Amount Tracy ate	Cantidad que Tracy comió	Time Trisha ran	El tiempo que corrió Trisha	Distance Greg travels to school	Distancia que Greg viaja a la escuela	Pound of Jaime's candy	Libra de caramelos de Jaime	Pound of Liz's ground beef	Libra de carne molida de Liz	Acid in Rabin's flask	Ácido en el frasco de Rabin	Cantaloupes in Caroline's salad	Melones en ensalada de Caroline	Hours Evan searched	Horas de búsqueda de Evan	Hours Christa has been working	Horas que Christa ha estado trabajando
%(whichLine)%	Block to Jill's house	[google]Bloque a la casa de Jill	Amount Laura read	Cantidad que leyó Laura	Weight of Franklin's cheese	Peso del queso Franklin	Daryl's paper chain	Cadena de papel de Daryl	-	-	Nicole's growth	El crecimiento de Nicole	Amount Kewana painted	Cantidad que Kewana pintó	Amount Lamara ate	Cantidad que comió Lamara	Mile John swam	Mile John nadó	-	-	Completion of Jeff's homework	Finalización de la tarea de Jeff	-	-	Time Christin ran	El tiempo que Christin corrió	Distance Greg travels to school	Distancia que Greg viaja a la escuela	Pound of Jaime's candy	Libra de caramelos de Jaime	Pound of Dale's ground beef	Libra de carne molida de Dale	Acid in Jason's flask	Ácido en el frasco de Jason	Cantaloupes in Caroline's salad	Melones en ensalada de Caroline	-	-	Hours Alicia has been working	Horas que ha estado trabajando Alicia
%(ch1)%	Jan lives close to Ted.	[google]Jan vive cerca de Ted.	Levar has read less of the novel.	[google]Levar ha leído menos de la novela.	Yes; the piece of cheese Katie brought is heavier.	[google]Sí; El pedazo de queso que Katie trajo es más pesado.	Daryl built the longer paper chain.	Daryl construyó la cadena de papel más larga.	Christian lives closer to the school.	[google]Christian vive más cerca de la escuela.	Shandell grew more.	[google]Shandell creció más.	Kewana painted more fence.	Kewana pintó más valla.	Lamara ate more of his sandwich.	Lamara comió más de su sándwich.	Coach should choose Bethany.	[google]El entrenador debe elegir a Bethany.	Heather has eaten less of her pie.	[google]Heather ha comido menos pastel.	Yes; Jeff was going ahead with the homework.	[google]Sí; Jeff seguía adelante con la tarea.	Chris ate more pizza.	[google]Chris se comió más pizza.	Christin ran more hours.	Christin corrió más horas.	Yes; Scott is right. He does live farther away.	[google]Sí; Scott tiene razón. Él vive más lejos.	Russ has less candy.	[google]Russ tiene menos dulces.	Sauce made by Dale.	Salsa elaborada por Dale.	No; Jason actually has more acid.	[google]No; Jason en realidad tiene más ácido.	Charlie should eat the salad made by Todd.	[google]error	Yes; Amy has been searching for less time.	[google]error	Alicia was working longer.	Alicia trabajaba más.
%(ch2)%	Jill lives closer to Ted.	[google]Jill vive más cerca de Ted.	Laura has read less of the novel.	Laura ha leído menos de la novela.	No. Katie is not right. The piece of cheese Franklin brought is heavier.	No. Katie no tiene razón. El trozo de queso que trajo Franklin es más pesado.	Rashad built the longer paper chain.	[google]Rashad construyó la cadena de papel más larga.	Miranda lives closer to the school.	[google]Miranda vive más cerca de la escuela.	Nicole grew more.	Nicole creció más.	Adam painted more fence.	[google]Adam pintó más valla.	Orlando ate more of his sandwich.	[google]Orlando se comió más de su sándwich.	Coach should choose John.	El entrenador debería elegir a John.	Dave has eaten less of his pie.	[google]Dave ha comido menos pastel.	No; it was Shannon who was going ahead.	[google]No; Fue Shannon quien seguía adelante.	Tracy ate more pizza.	[google]Tracy comió más pizza.	Trisha ran more hours.	[google]Trisha corrió más horas.	No; Scott is wrong. It is Greg who lives father away.	[google]No; Scott está equivocado. Es Greg quien vive al padre.	Jaime has less candy.	Jaime tiene menos caramelos.	Sauce made by Liz.	[google]Salsa hecha por Liz.	Yes; Rabin does have more acid.	[google]Sí; Rabin tiene más ácido.	Charlie should eat the salad made by Caroline.	Charlie debería comerse la ensalada hecha por Caroline.	No; Evan has been seaching for less time.	[google]error	Christa was working longer.	[google]error
