Problem Name	Problem 8	Problem 9	Problem 10	Problem 11	Problem 16	Problem 17	Problem 18	Problem 19	Problem 20
%(startStateNodeName)%	state2								
%(Input_1_amy_rides_6_miles)%	Amy rides 6 miles to school every day. Today, she stopped to rest 2/3 of the way there. How far had she ridden?	Sarah has been assigned 27 homework problems for tomorrow. She was able to finish 5/9 of them in class.	Harold is filling a swimming pool that holds 720 cubic feet of water. He stops to answer the phone when the pool is 5/8 full.	Huck is painting a fence that is 45 feet long. He stopped to rest after painting 2/3 of the fence.	Leah's volleyball team, the Bee's Knees, is playing its rival team, the Mavericks. The first team to score 25 points wins the game. Leah's team has scored 4/5 of the points they need.	Joey the Zookeeper is in charge of buying elephant food in the San Diego Zoo. African elephants eat all types of vegetation, from grass and fruit to leaves and bark. In the zoo, each elephant eats 120 pounds of food each day. One of the elephants, Vince, had eaten 5/6 of his portion for the day.	Kristopher is practicing hockey drills before a big game. He wants to do a shooting drill for 32 minutes, but he stops 5/8 of the way into the drill for water. How much longer does he need to do the drill?	Tom needs to make 400 copies and has made 15/16 of the total before the printer runs out of paper.	Jerome is baking 60 brownies for his class party. He has finished 3/10 of them and needs to make more batter.
%(Input_2_far_amy_ride_bike)%	How far did Amy ride her bike to school every day?	How many math problems does Sarah have to do?	How many cubic feet of water does the pool hold?	How long is the fence in feet?	How many points does the team need to win?	How many pounds of food does Vince eat each day?	How long does Kristopher want to do the drill?	How many total copies is Tom going to make?	How many total brownies is Jerome going to bake?
%(Input_3_fraction_distance_amy_ride)%	What fraction of the distance did Amy ride before resting?	What fraction of the problems has she already done?	What fraction of the pool did Harold fill before stopping?	What fraction of the fence did Huck paint before resting?	What fraction of points has the team already scored?	What fraction of food has he already eaten?	What fraction of the drill has he done?	What fraction of the total number of copies has Tom made?	What fraction of the total number has Jerome baked?
%(Input_4_many_miles_13_total)%	How many miles is 1/3 of the total distance?	How many problems is 1/9 of the assignment?	How many cubic feet is 1/8 of the pool?	How many feet is 1/3 of the total length of the fence?	How many points is 1/5 of the total?	How many pounds of food is 1/6 of the total?	How many minutes is 1/8 of the total?	How many copies is 1/16 of the total.	How many brownies is 1/10 of the total?
%(Input_5_many_miles_amy_ride)%	How many miles did Amy ride before resting?	How many problems did Sarah finish in class?	How many cubic feet of water are in the pool when he goes to answer the phone?	How many feet did Huck paint before resting?	How many points has the team scored?	How many pounds of food has Vince already eaten?	How many minutes has he already spent doing the drill?	How many copies has Tom already made?	How many brownies has Jerome already made?
%(Input_6_many_miles_amy_left)%	How many more miles does Amy have left to ride?	How many problems does she have left?	How many cubic feet of water are left to fill?	How many more feet does Huck have left to paint?	How many more points does the team need to score?	How many more pounds of food does Vince still have to eat?	How many more minutes does he still have to do the drill?	How many more copies does Tom still need to make?	How many more brownies does Jerome need to make with the new batter?
									
%(given)%	6	27	720	45	25	120	32	400	60
%(numer)%	2	5	5	2	4	5	5	15	3
%(denom)%	3	9	8	3	5	6	8	16	10
									
%(hint11)%	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description
%(hint12)%	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?
%(hint13)%	Please enter '6' in the highlighted field.	Please enter '27' in the highlighted field.	Please enter '720' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '32' in the highlighted field.	Please enter '400' in the highlighted field.	Please enter '60' in the highlighted field.
									
%(hint21)%	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description	This is a given number in the problem description
%(hint22)%	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?	What number in the problem description represents the value in question?
%(hint23)%	Please enter '2/3' in the highlighted field.	Please enter '5/9' in the highlighted field.	Please enter '5/8' in the highlighted field.	Please enter '2/3' in the highlighted field.	Please enter '4/5' in the highlighted field.	Please enter '5/6' in the highlighted field.	Please enter '5/8' in the highlighted field.	Please enter '15/16' in the highlighted field.	Please enter '3/10' in the highlighted field.
									
