Problem Name	Problem 1	Problem 1ESP	Problem 2	Problem 2ESP	Problem 3	Problem 3ESP	Problem 12	Problem 12ESP	Problem 13	Problem 13ESP	Problem 14	Problem 14ESP	Problem 15	Problem 15ESP	Problem 21	Problem 21ESP
%(startStateNodeName)%			state7	state7	state4	state4										
%(Input_1_jennifer_went_trip_driven)%	Jennifer went on a trip. When she had driven 7/10 of the distance, she had gone 140 miles.	Jennifer se fue de viaje. Cuando había conducido 7/10 de la distancia, había recorrido 140 millas.	Andrew goes to the gym to work out. When he's done 4/5 of his workout, he has exercised for 72 minutes.	Andrew va al gimnasio a hacer ejercicio. Cuando ha hecho 4/5 de su entrenamiento, se ha ejercitado durante 72 minutos.	Max is shoveling snow off of his driveway. After shoveling 15 feet, he was 3/4 done. What is the total length of his driveway?	Max está quitando nieve de su camino de entrada. Después de palear 15 pies, terminó 3/4. ¿Cuál es la longitud total de su camino de entrada?	Bruce goes to the swimming pool. When he has done 6/7 of his laps, he has swum 42 laps.	Bruce va a la piscina. Cuando ha hecho 6/7 de sus vueltas, ha nadado 42 vueltas.	Kristina needs to fill her car with gas for a road trip. Right now, it is 3/5 full. Kristina knows that when it is 3/5 full, there are 9 gallons of gas in the car.	Kristina necesita llenar su auto con gasolina para un viaje por carretera. En este momento, está lleno en 3/5. Kristina sabe que cuando está a 3/5 de su capacidad, hay 9 galones de gasolina en el auto.	Jessica has just finished 9/10 of her research paper in 45 minutes. How much time will it take her to finish the entire paper?	Jessica acaba de terminar 9/10 de su trabajo de investigación en 45 minutos. ¿Cuánto tiempo le llevará terminar todo el trabajo?	Johnny is a student taking a flight from Los Angeles to Tokyo in a cultural exchange program. After 3652 miles, Johnny has completed 2/3 of his journey.	Johnny es un estudiante que toma un vuelo de Los Ángeles a Tokio en un programa de intercambio cultural. Después de 3652 millas, Johnny ha completado 2/3 de su viaje.	Annie's scout troop is selling boxes of cookies as a fundraiser for their trip to Orlando. They have sold 187 boxes of cookies in the first month, which is 11/15 of their goal.	La tropa scout de Annie está vendiendo cajas de galletas para recaudar fondos para su viaje a Orlando. Han vendido 187 cajas de galletas en el primer mes, que es el 15/11 de su objetivo.
%(Input_2_many_miles_jennifer_driven)%	How many miles had Jennifer driven?	¿Cuántas millas había conducido Jennifer?	How many minutes has Andrew been exercising?	¿Cuántos minutos ha estado haciendo ejercicio Andrew?	How many feet has Max shoveled?	¿Cuántos pies ha traspasado Max?	How many laps has Bruce swum?	¿Cuántas vueltas ha nadado Bruce?	How many gallons of gas are in the gas tank?	¿Cuántos galones de gasolina hay en el tanque de gasolina?	How long has Jessica been writing her paper?	¿Cuánto tiempo lleva Jessica escribiendo su artículo?	How many miles has Johnny flown?	¿Cuántas millas ha volado Johnny?	How many boxes of cookies has Annie's scout troop sold?	¿Cuántas cajas de galletas vendió la tropa de exploradores de Annie?
%(Input_3_fraction_distance_jennifer_driven)%	What fraction of the distance had Jennifer driven?	¿Qué fracción de la distancia había recorrido Jennifer?	What fraction of his workout has he done?	¿Qué fracción de su entrenamiento ha realizado?	What fraction of his driveway has Max shoveled?	¿Qué fracción de su camino de entrada ha removido Max?	What fraction of his laps has he done?	¿Qué fracción de sus vueltas ha hecho?	What fraction of the gas tank is filled?	¿Qué fracción del tanque de gasolina está llena?	What fraction of the paper is complete?	¿Qué fracción del papel está completa?	What fraction of the distance has Johnny flown?	¿Qué fracción de la distancia ha volado Johnny?	What fraction of the goal have they sold?	¿Qué fracción del objetivo han vendido?
%(Input_4_many_miles_110_trip)%	How many miles was 1/10 of the trip?	¿Cuántas millas fue 1/10 del viaje?	How many minutes is 1/5 of Andrew's workout?	¿Cuántos minutos es 1/5 del entrenamiento de Andrew?	How many feet is 1/4 of the length of the driveway?	¿Cuántos pies es 1/4 de la longitud del camino de entrada?	How many laps is 1/7 of Bruce's swim?	¿Cuántas vueltas son 1/7 de la natación de Bruce?	How many gallons of gas is 1/5 of Kristina's gas tank?	¿Cuántos galones de gasolina son 1/5 del tanque de gasolina de Kristina?	How long does it take Jessica to write 1/10 of the paper?	¿Cuánto tiempo le toma a Jessica escribir 1/10 del artículo?	How many miles correspond to 1/3 of the journey?	¿Cuántas millas corresponden a 1/3 del viaje?	How many boxes is 1/15 of the goal?	¿Cuántas casillas es 1/15 del objetivo?
%(Input_5_many_total_miles_jennifer)%	How many total miles was Jennifer driving in this trip?	¿Cuántas millas en total condujo Jennifer en este viaje?	How long is Andrew's entire workout?	¿Cuánto dura todo el entrenamiento de Andrew?	What is the length of Max's driveway in feet?	¿Cuál es la longitud del camino de entrada de Max en pies?	How many laps will Bruce swim altogether?	¿Cuántas vueltas nadará Bruce en total?	How many gallons of gas does Kristina's gas tank hold?	¿Cuántos galones de gasolina tiene el tanque de gasolina de Kristina?	How long will it take Jessica to write the entire paper?	¿Cuánto tiempo le llevará a Jessica escribir todo el artículo?	How many miles is the total trip from Los Angeles to Tokyo?	¿Cuántas millas es el viaje total de Los Ángeles a Tokio?	How many boxes do they need to sell to reach the goal?	¿Cuántas cajas necesitan vender para alcanzar la meta?
%(Input_6_many_miles_jennifer_drive)%	How many more miles did Jennifer have to drive?	¿Cuántas millas más tuvo que conducir Jennifer?	How much longer will he exercise?	¿Cuánto tiempo más hará ejercicio?	How many more feet does Max have left to shovel?	¿Cuántos pies más le quedan a Max para palear?	How many more laps will Bruce swim?	¿Cuántas vueltas más nadará Bruce?	How many gallons of gas does Kristina need to purchase to fill up her car's gas tank?	¿Cuántos galones de gasolina necesita comprar Kristina para llenar el tanque de gasolina de su auto?	How much longer will it take Jessica to write the paper?	¿Cuánto más tardará Jessica en escribir el artículo?	How many miles are left to complete the journey?	¿Cuántos kilómetros quedan para completar el viaje?	How many boxes of cookies do they still need to sell?	¿Cuántas cajas de galletas todavía necesitan vender?
																
%(given)%	140	140	72	72	15	15	42	42	9	9	45	45	3652	3652	187	187
%(numer)%	7	7	4	4	3	3	6	6	3	3	9	9	2	2	11	11
