Problem Name	Problem1	Problem1ESP	Problem2	Problem2ESP	Problem3	Problem3ESP	Problem5	Problem5ESP	Problem6	Problem6ESP	Problem7	Problem7ESP	Problem8	Problem8ESP	Problem9	Problem9ESP	Problem10	Problem10ESP	Problem11	Problem11ESP	Problem12	Problem12ESP	Problem13	Problem13ESP	Problem14	Problem14ESP	Problem15	Problem15ESP	Problem16	Problem16ESP	Problem17	Problem17ESP	Problem18	Problem18ESP	Problem19	Problem19ESP	Problem20	Problem20ESP	Problem21	Problem21ESP	Problem22	Problem22ESP	Problem23	Problem23ESP	Problem24	Problem24ESP
%(startStateNodeName)%	state56	[google]Estado56	state27	[google]Estado27	state2	[google]Estado2	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116	state116	[google]Estado116
%(ProblemStatement)%	As part of their Get Fit campaign, the city of Tucson, Arizona recently attempted to set a record for the highest number of people performing aerobic exercise simultaneously. Of the city's 21000 inhabitants, 16590 people took part in the activity. What percentage is this? 	[google]Como parte de su campaña Get Fit, la ciudad de Tucson, Arizona, intentó recientemente establecer un récord para el mayor número de personas que realizan ejercicio aeróbico simultáneamente. De los 21000 habitantes de la ciudad, 16590 personas participaron en la actividad. ¿Qué porcentaje es este?	Timothy is flying from Los Angeles to New York City. He will be flying a total of 5000 miles, and right now, as he looks out the window high above Oklahoma, he has flown 775 miles. What percentage is this? 	[google]Timothy está volando de Los Ángeles a la ciudad de Nueva York. Volará un total de 5000 millas, y en este momento, mientras mira por la ventana muy por encima de Oklahoma, ha volado 775 millas. ¿Qué porcentaje es este?	Ed is installing carpeting in his house. He has to install 300 square feet of carpeting, and he has already installed 243 square feet. What percentage of the carpet has he installed?	[google]Ed está instalando alfombras en su casa. Tiene que instalar 300 pies cuadrados de alfombras, y ya ha instalado 243 pies cuadrados. ¿Qué porcentaje de la alfombra ha instalado?	Albert is reading a book that is 200 pages long. If he reads 72 pages over the weekend, what percentage of the total pages does that represent?	[google]Albert está leyendo un libro que tiene 200 páginas. Si lee 72 páginas durante el fin de semana, ¿qué porcentaje de las páginas totales representa eso?	A radio program that consists of 3 fictional stories is 75 minutes long. If one story accounts for 15 minutes of the program, what percentage of the total program does that story represent?	[google]Un programa de radio que consta de 3 historias ficticias dura 75 minutos. Si una historia representa 15 minutos del programa, ¿qué porcentaje del programa total representa esa historia?	Jane is returning a poorly developed photograph to the shop. If the cost of her entire order was $8.00 and she was credited $0.12, what percent of the order was she credited?	[google]Jane le devuelve una fotografía mal desarrollada a la tienda. Si el costo de todo su pedido era de $ 8.00 y se le atribuyó $ 0.12, ¿qué porcentaje de la orden fue acreditada?	A political science student at a city university recently conducted an on-the-street poll of passersby, asking the question: Who is the current secretary of state? Remarkably, only 36 out of the 400 people he asked knew the correct answer! What percent of the individuals who were polled could identify the secretary of state?	[google]Un estudiante de ciencias políticas en una universidad de la ciudad realizó recientemente una encuesta en la calle de los transeúntes, haciendo la pregunta: ¿Quién es el actual Secretario de Estado? Sorprendentemente, ¡solo 36 de las 400 personas a las que pidió sabían la respuesta correcta! ¿Qué porcentaje de las personas que fueron encuestadas podrían identificar al Secretario de Estado?	One local newscast tries to lure viewers with a flashy gimmick- Win by Watching. They send every resident of the city his/her own unique game number, promising $1000 each day to the viewer whose number is flashed across the screen sometime during the 6 o'clock news. However, an independent investigation team just revealed that, in the past 15 years, only 1625 out of the 25000 viewers in the tri-state area have actually won the contest. What percentage is this?	[google]Un noticiero local intenta atraer a los espectadores con un llamativo truco victoriamente mirando. Envían a todos los residentes de la ciudad su propio número de juego único, prometiendo $ 1000 cada día al espectador cuyo número se revela en la pantalla en algún momento durante las noticias de las 6 en punto. Sin embargo, un equipo de investigación independiente acaba de revelar que, en los últimos 15 años, solo 1625 de los 25000 espectadores en el área de Tri-State han ganado el concurso. ¿Qué porcentaje es este?	At the 2002 Winter Olympic Games in Salt Lake City, a total of 80 gold medals were awarded, 10 of those medals went to athletes from the Unites States. What percentage of the gold medalists were American?	[google]En los Juegos Olímpicos de Invierno de 2002 en Salt Lake City, se otorgaron un total de 80 medallas de oro, 10 de esas medallas fueron para atletas de los estados de unitos. ¿Qué porcentaje de los medallistas de oro eran estadounidenses?	A college undergraduate works in a coffee shop for extra money. If his shift is 5 hours long, and he spends 2 hours of his shift doing dishes, what percentage of his shift is spent doing the dishes?	[google]Una universidad universitaria trabaja en una cafetería por dinero extra. Si su turno dura 5 horas y pasa 2 horas de su turno haciendo platos, ¿qué porcentaje de su turno se gastan haciendo los platos?	A roll of wrapping paper contains 25 square feet of paper. If you use 18 square feet to wrap a present, what percentage of the total amount of wrapping paper have you used?	[google]Un rollo de papel de envoltura contiene 25 pies cuadrados de papel. Si usa 18 pies cuadrados para envolver un regalo, ¿qué porcentaje de la cantidad total de papel de envoltura ha utilizado?	Emily's favorite movie is 130 minutes long. If she watches 91 minutes of the movie, what percentage has she watched?	[google]La película favorita de Emily es de 130 minutos. Si ve 91 minutos de la película, ¿qué porcentaje ha visto?	Ashley is intrigued with the notion that yawning is contagious, so she decided to test this theory by making informal observations of her classmates during the school year and tracking the results in a notebook she keeps with her. In total, Ashley observed 2400 instances of someone yawning, and 2022 of those resulted in a second person yawning soon after. What percentage of the instances revealed yawning contagion?	[google]Ashley está intrigada con la noción de que bostezar es contagioso, por lo que decidió probar esta teoría haciendo observaciones informales de sus compañeros de clase durante el año escolar y rastreando los resultados en un cuaderno que mantiene con ella. En total, Ashley observó 2400 instancias de alguien bostezando, y 2022 de ellos resultó en una segunda persona bostezando poco después. ¿Qué porcentaje de las instancias reveló el contagio de bostezo?	Joan is shocked when she received her very first paycheck. Her earnings before taxes for her first month on the job were $2000, but after taxes she only received $1290. Since $710 was deducted, what percentage of Joan's earnings went to taxes?	[google]Joan se sorprende cuando recibió su primer cheque de pago. Sus ganancias antes de los impuestos para su primer mes en el trabajo fueron de $ 2000, pero después de los impuestos, solo recibió $ 1290. Desde que se deducieron $ 710, ¿qué porcentaje de las ganancias de Joan se destinaron a los impuestos?	A president's approval rating is determined by scientific polling of a sample of American citizens, who are simply asked if they approve of the job the president is doing. 2,000,000 American citizens were polled and 1,300,000 individuals reported approval with the current president. What is the president's approval rating as a percentage?	[google]El índice de aprobación de un presidente está determinado por la encuesta científica de una muestra de ciudadanos estadounidenses, a quienes simplemente se les pregunta si aprueban el trabajo que está haciendo el presidente. 2,000,000 de ciudadanos estadounidenses fueron encuestados y 1,300,000 individuos informaron aprobación con el actual presidente. ¿Cuál es el índice de aprobación del presidente como porcentaje?	An encouraging survey by a local health organization revealed that, out of 6000 adults polled, 1980 participated in leisure-time physical activities on a regular basis. What percentage is this?	[google]Una encuesta alentadora realizada por una organización de la salud local reveló que, de 6000 adultos encuestados, 1980 participaron en actividades físicas en tiempo de ocio de manera regular. ¿Qué porcentaje es este?	The cafeteria staff of your school thinks it has come up with a great new idea for a healthy lunchtime meal - tofu burgers and tofu ice cream. However, on the first day this alternative meal was offered, only 10 students out of 500 in your school opted for it. What percent of the student body sampled the all-tofu meal?	[google]El personal de la cafetería de su escuela cree que ha surgido una gran idea para una comida saludable a la hora del almuerzo: hamburguesas de tofu y helado de tofu. Sin embargo, el primer día se ofreció esta comida alternativa, solo 10 estudiantes de 500 en su escuela optaron por ella. ¿Qué porcentaje del alumnado muestreó la comida de TOFU?	Lisa is purchasing a pair of jeans from the clearance rack. The original price was $85.00, and the clearance price is $48.45. What percentage of the total price does the clearance price represent?	[google]Lisa está comprando un par de jeans del estante de liquidación. El precio original era de $ 85.00 y el precio de autorización es de $ 48.45. ¿Qué porcentaje del precio total representa el precio de autorización?	You decide to buy a new computer on one of the nation's sales tax holidays. If the regular price of the computer is $1500 and you save $105 by not having to pay any sales tax on the machine, what is the sales tax percentage in your area?	[google]Usted decide comprar una nueva computadora en una de las vacaciones de impuestos sobre las ventas del país. Si el precio regular de la computadora es de $ 1500 y ahorra $ 105 al no tener que pagar ningún impuesto sobre las ventas en la máquina, ¿cuál es el porcentaje del impuesto sobre las ventas en su área?	Julie just took a job as a telemarketer, selling, of all things, light bulbs over the phone! Surprisingly, Julie's first week is pretty successful for a rookie. Out of the 300 individuals she called, 189 agreed to buy at least one of the company's products! What is Julie's success rate as a percentage?	[google]¡Julie acaba de tomar un trabajo como telemarketer, vendiendo, de todas las cosas, bombillas por teléfono! Sorprendentemente, la primera semana de Julie es bastante exitosa para un novato. ¡De las 300 personas a las que llamó, 189 acordó comprar al menos uno de los productos de la compañía! ¿Cuál es la tasa de éxito de Julie como porcentaje?	Chelsea completed 240 math problems in a competition. If 30 of those problems were geometry problems, what percentage of the problems were geometry problems?	[google]Chelsea completó 240 problemas matemáticos en una competencia. Si 30 de esos problemas fueron problemas de geometría, ¿qué porcentaje de los problemas fueron problemas de geometría?	Alex practiced his driving regularly in the weeks before his driving exam, and his efforts paid off. During the on-road test, the DMV agent who accompanied Alex deducted points for every driving error made. Fortunately, out of the 175 possible points for the test, the agent only deducted 7 points when Alex forgot to use his turn signal when parallel parking. What is Alex's test score as a percentage?	[google]Alex practicó su conducción regularmente en las semanas previas a su examen de manejo, y sus esfuerzos valieron la pena. Durante la prueba en carretera, el agente del DMV que acompañó a Alex dedujo puntos por cada error de conducción cometido. Afortunadamente, de los 175 puntos posibles para la prueba, el agente solo dedujo 7 puntos cuando Alex olvidó usar su señal de giro cuando estacionó paralelo. ¿Cuál es el puntaje de prueba de Alex como porcentaje?	A dinner costs $35.00, and the waiter receives a $5.25 tip. What percentage tip did the waiter receive?	[google]Una cena cuesta $ 35.00, y el camarero recibe una propina de $ 5.25. ¿Qué consejo porcentual recibió el camarero?
%(Part)%	16590	16590	775	775	243	243	72	72	15	15	0.12	[google]0.12	36	36	1625	1625	10	10	2	2	18	18	91	91	2022	2022	710	710	1300000	1300000	1980	1980	10	10	48.45	[google]48.45	105	105	189	189	30	30	168	168	5.25	[google]5.25
%(Part-Hint1)%	What is the number of people who took part in the activity?	[google]¿Cuál es el número de personas que participaron en la actividad?	How many miles has Timothy already covered?	[google]¿Cuántas millas ya ha cubierto Timothy?	How much carpeting has Ed already installed in his house?	[google]¿Cuánta alfombra ya ha instalado Ed en su casa?	How many pages did Albert already read from the book?	[google]¿Cuántas páginas ya leía Albert del libro?	What is the length of one story?	[google]¿Cuál es la duración de una historia?	How much credit did the shop return to Jane?	[google]¿Cuánto crédito regresó la tienda a Jane?	How many people answered the question correctly?	[google]¿Cuántas personas respondieron la pregunta correctamente?	How many viewers have won the contest in the last 15 years?	[google]¿Cuántos espectadores han ganado el concurso en los últimos 15 años?	How many athletes from team USA won gold medals during the Winter Olympics?	[google]¿Cuántos atletas del Equipo de EE. UU. Ganaron medallas de oro durante los Juegos Olímpicos de Invierno?	How much time does the student spend doing dishes?	[google]¿Cuánto tiempo pasa el estudiante a lavar platos?	How much wrapping paper was used to wrap the present?	[google]¿Cuánto papel de envoltura se usó para envolver el presente?	How much of the movie has Emily seen?	[google]¿Cuánto de la película ha visto Emily?	How many secondary yawns did Ashley see?	[google]¿Cuántos bostezos secundarios vieron Ashley?	How much of Joan's salary went to taxes?	[google]¿Cuánto del salario de Joan se destinó a impuestos?	How many citizens approved of the president's performance?	[google]¿Cuántos ciudadanos aprobaron el desempeño del presidente?	How many adults regularly participated in physical activities?	[google]¿Cuántos adultos participaron regularmente en actividades físicas?	How many students tried the healthy meal?	[google]¿Cuántos estudiantes probaron la comida saludable?	How much did Lisa spend on the pair of jeans?	[google]¿Cuánto gastó Lisa en el par de jeans?	How much did you save by not paying tax?	[google]¿Cuánto ahorró al no pagar impuestos?	How many customers agreed to buy the company's products?	[google]¿Cuántos clientes acordaron comprar los productos de la compañía?	How many geometry problems were there in the math competition?	[google]¿Cuántos problemas de geometría había en la competencia de matemáticas?	What was Alex's test score?	[google]¿Cuál fue el puntaje de prueba de Alex?	How much tip did the waiter receive?	[google]¿Cuánto consejo recibió el camarero?
%(Alex-ex-hint)%																																											If 7 points are deducted from the 175 possible points, how many points did Alex earn?	[google]Si se deducen 7 puntos de los 175 puntos posibles, ¿cuántos puntos ganó Alex?		
%(Alex-ex-hint2)%																																											What is 175 - 7?	[google]¿Qué es 175 - 7?		
%(ComboOpt1)%	people who took part in the activity	[google]personas que participaron en la actividad	miles between New York City and Oklahoma	[google]millas entre la ciudad de Nueva York y Oklahoma	total sq.ft. of carpeting to be installed	[google]Total Sq.ft. de alfombras para instalarse	total number of pages in the book	[google]Número total de páginas en el libro	length of one story	[google]Longitud de una historia	total cost of the order ($)	[google]Costo total del pedido ($)	people who answered incorrectly	[google]personas que respondieron incorrectamente	total number of people in the tri-state area	[google]Número total de personas en el área de Tri-State	number of non-American gold medalists	[google]Número de medallistas de oro no estadounidenses	hours spent doing dishes	[google]Horas dedicadas a platos	sq.ft. of wrapping paper used for the present	[google]sq.ft. de papel de envoltura utilizado para el presente	minutes of the movie Emily has yet to watch	[google]minutos de la película que Emily aún no ha visto	number of yawns that induced secondary yawns	[google]Número de bostezos que indujeron bostezos secundarios	Joan's salary after it was taxed ($)	[google]El salario de Joan después de su gestión ($)	citizens that approved of the president's performance	[google]ciudadanos que aprobaron el desempeño del presidente	number of adults who worked out regularly	[google]Número de adultos que trabajaron regularmente	total number of students in the school	[google]Número total de estudiantes en la escuela	amount saved from the clearance ($)	[google]Cantidad ahorrada de la autorización ($)	sales tax on the computer ($)	[google]Impuesto sobre las ventas en la computadora ($)	customers who bought light bulbs	[google]clientes que compraron bombillas	total number of problems	[google]Número total de problemas	number of points awarded	[google]Número de puntos otorgados	tip received by the waiter ($)	[google]Consejo recibido por el camarero ($)
%(ComboOpt2)%	people who didn't take part in the activity	[google]personas que no participaron en la actividad	miles between Los Angeles and New York City	[google]millas entre Los Ángeles y la ciudad de Nueva York	sq.ft. of carpeting already installed	[google]sq.ft. de alfombras ya instaladas	pages already read by Albert	[google]Páginas ya leídas por Albert	length of two stories	[google]Longitud de dos historias	credit Jane received ($)	[google]crédito Jane recibió ($)	people who answered correctly	[google]personas que respondieron correctamente	people who didn't win the contest	[google]Gente que no ganó el concurso	number of American gold medalists	[google]Número de medallistas de oro americanos	hours spent doing other tasks	[google]Horas dedicadas a hacer otras tareas	total sq.ft. of wrapping paper	[google]Total Sq.ft. de papel de envoltura	minutes of the movie Emily has already watched	[google]Minutos de la película Emily ya ha visto	total number of yawns observed	[google]Número total de bostezos observados	total tax withheld ($)	[google]Total Impuesto retenido ($)	total number of American citizens that were in the poll	[google]Número total de ciudadanos estadounidenses que estaban en la encuesta	number of adults who did not work out regularly	[google]Número de adultos que no hicieron ejercicio regularmente	number of students who opted for the non-tofu meal	[google]Número de estudiantes que optaron por la comida no tofu	clearance price of the jeans ($)	[google]Precio de autorización de los jeans ($)	price of the computer not including tax ($)	[google]Precio de la computadora que no incluye impuestos ($)	customers who did not buy light bulbs	[google]clientes que no compraron bombillas	number of geometry problems	[google]Número de problemas de geometría	number of points deducted	[google]Número de puntos deducidos	cost of dinner without tip ($)	[google]Costo de la cena sin propina ($)
%(ComboOpt3)%	total inhabitants of Tuscon	[google]habitantes totales de Tucson	miles between Los Angeles and Oklahoma	[google]millas entre Los Ángeles y Oklahoma	sq.ft. of carpeting not yet installed	[google]sq.ft. de alfombras aún no instaladas	pages left to be read by Albert	[google]Páginas dejadas para ser leídos por Albert	length of three stories	[google]Longitud de tres historias	amount Jane lost in this order ($)	[google]Cantidad Jane perdió en este pedido ($)	total number of people in the poll	[google]Número total de personas en la encuesta	people who won the contest	[google]Gente que ganó el concurso	total number of gold medalists	[google]Número total de medallistas de oro	total length of a shift	[google]Longitud total de un cambio	sq.ft. of wrapping paper saved after wrapping present	[google]sq.ft. de papel de envoltura guardado después de envolver el presente	length of the entire movie	[google]Longitud de toda la película	number of independent yawns	[google]Número de bostezos independientes	Joan's salary before it was taxed ($)	[google]El salario de Joan antes de que fuera gravado ($)	citizens that did not approve of the president's performace	[google]ciudadanos que no aprobaron el desempeño del presidente	total number of adults in the survey	[google]Número total de adultos en la encuesta	number of students who opted for the tofu meal	[google]Número de estudiantes que optaron por la comida de tofu	original price of the jeans ($)	[google]Precio original de los jeans ($)	price of the computer including tax ($)	[google]Precio de la computadora, incluidos los impuestos ($)	customers who were on the phone with Julie	[google]clientes que estaban hablando por teléfono con Julie	number of non-geometry problems	[google]número de problemas de no geometría	total number of points	[google]Número total de puntos	cost of dinner including tip ($)	[google]Costo de cena, incluida la propina ($)
%(Combo1-Hint)%	Which part of the population are you representing in the numerator of this fraction?	[google]¿Qué parte de la población representa en el numerador de esta fracción?	Which part of the journey are you representing in the numerator of this fraction?	[google]¿Qué parte del viaje está representando en el numerador de esta fracción?	What part of the carpet installation are you representing in the numerator of this fraction?	[google]¿Qué parte de la instalación de la alfombra está representando en el numerador de esta fracción?	What part of Albert's reading are you representing in the numerator of this fraction?	[google]¿Qué parte de la lectura de Albert estás representando en el numerador de esta fracción?	What part of the radio program are you representing in the numerator of this fraction?	[google]¿Qué parte del programa de radio está representando en el numerador de esta fracción?	What part of the total order are you representing in the numerator of this fraction?	[google]¿Qué parte del orden total está representando en el numerador de esta fracción?	Which participants in the poll are you representing in the numerator of this fraction?	[google]¿Qué participantes en la encuesta representan en el numerador de esta fracción?	Which viewers are you trying to represent in the numerator of this fraction?	[google]¿Qué espectadores estás tratando de representar en el numerador de esta fracción?	Which gold medalists are you trying to represent in the numerator of this fraction?	[google]¿Qué medallistas de oro estás tratando de representar en el numerador de esta fracción?	Which part of the student's shift are you trying to represent as the numerator of this fraction?	[google]¿Qué parte del cambio del estudiante estás tratando de representar como el numerador de esta fracción?	Which quantity of the wrapping paper represents the numerator of this fraction?	[google]¿Qué cantidad del papel de envoltura representa el numerador de esta fracción?	How many minutes of the movie represents the numerator of this fraction?	[google]¿Cuántos minutos de la película representa el numerador de esta fracción?	What number of  yawns represents the numerator of this fraction?	[google]¿Qué número de bostezo representa el numerador de esta fracción?	What part of Joan's salary is represented as the numerator of this fraction?	[google]¿Qué parte del salario de Joan se representa como el numerador de esta fracción?	What part of the poll is going to be represented as the numerator of this fraction?	[google]¿Qué parte de la encuesta se representará como el numerador de esta fracción?	What part of the survey is going to be represented as the numerator of this fraction?	[google]¿Qué parte de la encuesta se representará como el numerador de esta fracción?	What part of the student body is being represented as the numerator of this fraction?	[google]¿Qué parte del alumnado se representa como el numerador de esta fracción?	Which price represents the numerator of this fraction?	[google]¿Qué precio representa el numerador de esta fracción?	Which amount is the numerator of this fraction?	[google]¿Qué cantidad es el numerador de esta fracción?	How many people represent the numerator of this fraction?	[google]¿Cuántas personas representan al numerador de esta fracción?	What part of the math problems are you representing as the numerator of this fraction?	[google]¿Qué parte de los problemas matemáticos representan como el numerador de esta fracción?	What part of Alex's score will be represented as the numerator of this fraction?	[google]¿Qué parte del puntaje de Alex se representará como el numerador de esta fracción?	Which value represents the numerator of the fraction?	[google]¿Qué valor representa el numerador de la fracción?
