Problem Name	Problem 8	Problem 8ESP	Problem 9	Problem 9ESP	Problem 10	Problem 10ESP	Problem 11	Problem 11ESP	Problem 16	Problem 16ESP	Problem 17	Problem 17ESP	Problem 18	Problem 18ESP	Problem 19	Problem 19ESP	Problem 20	Problem 20ESP
%(startStateNodeName)%	state2	state2																
%(Input_1_amy_rides_6_miles)%	Amy rides 6 miles to school every day. Today, she stopped to rest 2/3 of the way there. How far had she ridden?	Amy viaja 6 millas a la escuela todos los días. Hoy, se detuvo a descansar 2/3 del camino. ¿Qué tan lejos había cabalgado?	Sarah has been assigned 27 homework problems for tomorrow. She was able to finish 5/9 of them in class.	[CTAT]NAN	Harold is filling a swimming pool that holds 720 cubic feet of water. He stops to answer the phone when the pool is 5/8 full.	[CTAT]NAN	Huck is painting a fence that is 45 feet long. He stopped to rest after painting 2/3 of the fence.	[CTAT]NAN	Leah's volleyball team, the Bee's Knees, is playing its rival team, the Mavericks. The first team to score 25 points wins the game. Leah's team has scored 4/5 of the points they need.	[CTAT]NAN	Joey the Zookeeper is in charge of buying elephant food in the San Diego Zoo. African elephants eat all types of vegetation, from grass and fruit to leaves and bark. In the zoo, each elephant eats 120 pounds of food each day. One of the elephants, Vince, had eaten 5/6 of his portion for the day.	[CTAT]NAN	Kristopher is practicing hockey drills before a big game. He wants to do a shooting drill for 32 minutes, but he stops 5/8 of the way into the drill for water. How much longer does he need to do the drill?	[CTAT]NAN	Tom needs to make 400 copies and has made 15/16 of the total before the printer runs out of paper.	[CTAT]NAN	Jerome is baking 60 brownies for his class party. He has finished 3/10 of them and needs to make more batter.	[CTAT]NAN
%(Input_2_far_amy_ride_bike)%	How far did Amy ride her bike to school every day?	¿Hasta dónde llegaba Amy en bicicleta a la escuela todos los días?	How many math problems does Sarah have to do?	[CTAT]NAN	How many cubic feet of water does the pool hold?	[CTAT]NAN	How long is the fence in feet?	[CTAT]NAN	How many points does the team need to win?	[CTAT]NAN	How many pounds of food does Vince eat each day?	[CTAT]NAN	How long does Kristopher want to do the drill?	[CTAT]NAN	How many total copies is Tom going to make?	¿Cuántas copias en total va a hacer Tom?	How many total brownies is Jerome going to bake?	¿Cuántos brownies en total va a hornear Jerome?
%(Input_3_fraction_distance_amy_ride)%	What fraction of the distance did Amy ride before resting?	¿Qué fracción de la distancia recorrió Amy antes de descansar?	What fraction of the problems has she already done?	[CTAT]NAN	What fraction of the pool did Harold fill before stopping?	[CTAT]NAN	What fraction of the fence did Huck paint before resting?	[CTAT]NAN	What fraction of points has the team already scored?	[CTAT]NAN	What fraction of food has he already eaten?	[CTAT]NAN	What fraction of the drill has he done?	[CTAT]NAN	What fraction of the total number of copies has Tom made?	[CTAT]NAN	What fraction of the total number has Jerome baked?	[CTAT]NAN
%(Input_4_many_miles_13_total)%	How many miles is 1/3 of the total distance?	¿Cuántas millas son 1/3 de la distancia total?	How many problems is 1/9 of the assignment?	[CTAT]NAN	How many cubic feet is 1/8 of the pool?	[CTAT]NAN	How many feet is 1/3 of the total length of the fence?	[CTAT]NAN	How many points is 1/5 of the total?	[CTAT]NAN	How many pounds of food is 1/6 of the total?	[CTAT]NAN	How many minutes is 1/8 of the total?	[CTAT]NAN	How many copies is 1/16 of the total.	[CTAT]NAN	How many brownies is 1/10 of the total?	[CTAT]NAN
%(Input_5_many_miles_amy_ride)%	How many miles did Amy ride before resting?	¿Cuántas millas recorrió Amy antes de descansar?	How many problems did Sarah finish in class?	[CTAT]NAN	How many cubic feet of water are in the pool when he goes to answer the phone?	[CTAT]NAN	How many feet did Huck paint before resting?	[CTAT]NAN	How many points has the team scored?	[CTAT]NAN	How many pounds of food has Vince already eaten?	[CTAT]NAN	How many minutes has he already spent doing the drill?	[CTAT]NAN	How many copies has Tom already made?	[CTAT]NAN	How many brownies has Jerome already made?	[CTAT]NAN
%(Input_6_many_miles_amy_left)%	How many more miles does Amy have left to ride?	¿Cuántas millas más le quedan por recorrer a Amy?	How many problems does she have left?	[CTAT]NAN	How many cubic feet of water are left to fill?	[CTAT]NAN	How many more feet does Huck have left to paint?	[CTAT]NAN	How many more points does the team need to score?	[CTAT]NAN	How many more pounds of food does Vince still have to eat?	[CTAT]NAN	How many more minutes does he still have to do the drill?	[CTAT]NAN	How many more copies does Tom still need to make?	[CTAT]NAN	How many more brownies does Jerome need to make with the new batter?	[CTAT]NAN
																		
%(given)%	6	6	27	27	720	720	45	45	25	25	120	120	32	32	400	400	60	60
%(numer)%	2	2	5	5	5	5	2	2	4	4	5	5	5	5	15	15	3	3
%(denom)%	3	3	9	9	8	8	3	3	5	5	6	6	8	8	16	16	10	10
																		
%(hint11)%	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema
%(hint12)%	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?
