Problem Name	Problem 4	Problem 5	Problem 6	Problem 7
%(startStateNodeName)%				
%(Input_1_tom_needs_make_400)%	Tom needs to make 400 copies and has made 375.	Jerome is baking 60 brownies and has finished 36 of them.	Annie's scout troop has a goal of selling 250 boxes of cookies. They have sold 175 of them.	Thomas rides 8 blocks to school every day. Today, he stopped to rest after 6 blocks. 
%(Input_2_many_total_copies_tom)%	How many total copies is Tom going to make?	How many total brownies is Jerome going to bake?	How many boxes of cookies does Annie's scout troop want to sell?	How far did Thomas ride his bike to school every day?
%(Input_3_many_copies_tom_made)%	How many copies has Tom made?	How many brownies has Jerome baked?	How many boxes of cookie have they sold?	How many blocks did Thomas ride before resting?
%(Input_4_ratio_total_number_copies)%	What ratio of the total number of copies has Tom made?	What ratio of the total number has Jerome baked?	What ratio of the total number have they sold?	What ratio of the distance did he ride before resting?
%(Input_5_many_copies_tom_still)%	How many copies does Tom still need to make?	How many brownies does Jerome still need to bake?	How many boxes of cookies do they still need to sell?	How many more blocks does Thomas have left to ride?
%(6)%				
				
%(given)%				
%(numer)%	375	36	175	6
%(denom)%	400	60	250	8
				
%(hint11)%				
%(hint12)%				
%(hint13)%				
				
%(hint21)%				
%(hint22)%				
%(hint23)%				
				
%(hint31)%				
%(hint32)%				
%(hint33)%				
				
%(hint41)%				
%(hint42)%				
%(hint43)%				
				
%(hint51)%				
%(hint52)%				
%(hint53)%				
				
%(hint61)%				
%(hint62)%				
%(hint63)%				
				
%(hint71)%				
%(hint72)%				
%(hint73)%				
				
%(hint81)%				
%(hint82)%				
%(hint83)%				
				
%(expression1)%	375/400	36/60	175/250	6/8
%(hintMessage_6_please_enter_1375400400_highlighted)%	Please enter '1-375/400)*400' in the highlighted field.	Please enter '1-36/60)*60' in the highlighted field.	Please enter '1-175/250)*250' in the highlighted field.	Please enter '1-6/8)*8' in the highlighted field.
%(hintMessage_5_please_enter_expressionmatches1375400400input_highlighted)%	Please enter 'expressionMatches((1-375/400)*400,input)' in the highlighted field.	Please enter 'expressionMatches((1-36/60)*60,input)' in the highlighted field.	Please enter 'expressionMatches((1-175/250)*250,input)' in the highlighted field.	Please enter 'expressionMatches((1-6/8)*8,input)' in the highlighted field.
%(buggyMessage_1_correct)%	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.
%(hintMessage_2_please_enter_375_highlighted)%	Please enter '375' in the highlighted field.	Please enter '36' in the highlighted field.	Please enter '175' in the highlighted field.	Please enter '6' in the highlighted field.
%(hintMessage_3_please_enter_expressionmatches375400input_highlighted)%	Please enter 'expressionMatches(375/400,input)' in the highlighted field.	Please enter 'expressionMatches(36/60,input)' in the highlighted field.	Please enter 'expressionMatches(175/250,input)' in the highlighted field.	Please enter 'expressionMatches(6/8,input)' in the highlighted field.
%(hintMessage_7_please_click_highlighted_button)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
%(hintMessage_4_please_enter_375400_highlighted)%	Please enter '375/400' in the highlighted field.	Please enter '36/60' in the highlighted field.	Please enter '175/250' in the highlighted field.	Please enter '6/8' in the highlighted field.
%(hintMessage_1_please_enter_400_highlighted)%	Please enter '400' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '250' in the highlighted field.	Please enter '8' in the highlighted field.
%(Input_10_numerdenom)%	%(numer)%/%(denom)%	%(numer)%/%(denom)%	%(numer)%/%(denom)%	%(numer)%/%(denom)%
%(Input_12_expression2)%	%(expression2)%	%(expression2)%	%(expression2)%	%(expression2)%
%(Input_14_1numerdenomdenom)%	1-%(numer)%/%(denom)%)*%(denom)%	1-%(numer)%/%(denom)%)*%(denom)%	1-%(numer)%/%(denom)%)*%(denom)%	1-%(numer)%/%(denom)%)*%(denom)%
%(Input_16_1)%	-1	-1	-1	-1
