,6.20 Fraction Ordering,6.20 Orden de fracciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Given a contextual problem, student will use number lines to compare two fractions.","Dado un problema contextual, el estudiante usará rectas numéricas para comparar dos fracciones.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problem Name,Problem1,Problem1ESP,Problem Name,Problem2,Problem2ESP,Problem Name,Problem3,Problem3ESP,Problem Name,Problem4,Problem4ESP,Problem Name,Problem5,Problem5ESP,Problem Name,Problem6,Problem6ESP,Problem Name,Problem7,Problem7ESP,Problem Name,Problem8,Problem8ESP,Problem Name,Problem9,Problem9ESP,Problem Name,Problem10,Problem10ESP,Problem Name,Problem11,Problem11ESP,Problem Name,Problem12,Problem12ESP,Problem Name,Problem13,Problem13EP,Problem Name,Problem14,Problem4ESP,Problem Name,Problem15,Problem15ESP,Problem Name,Problem16,Problem16ESP,Problem Name,Problem17,Problem17ESP,Problem Name,Problem18,Problem18ESP,Problem Name,Problem19,Problem19ESP
%(6880181538591893940)%,The fraction 1/5 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 1/5 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(3316128436786361965)%,Mile Bathany swam,Mile Bethany cisne,%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(7296021944)%,9,9,%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(2459759031465498029)%,Christin ran more hours.,Christin corrió más horas.,%(-3961528738389510186)%,Distance Scott travels to school,Distancia que Scott viaja a la escuela,%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(-3808756510011562290)%,"No, Jason actually has more acid.","No, Jason en realidad tiene más ácido.",%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(8214103061683901905)%,The fraction 5/4 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 5/4 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.
%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,Proporcione su respuesta 'No_Value' en el elemento resaltado.,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.,%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(-5969644001277761826)%,Good job!,¡Buen trabajo!,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.,%(-5969644001277761826)%,Good job!,¡Buen trabajo!
%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(2644067368405592118)%,Daryl's paper chain,Cadena de papel de Daryl,%(407403234562133358)%,Both live the same distance from the school.,Ambos viven a la misma distancia de la escuela.,%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(5688190338139138128)%,Kewana painted more fence.,Kewana pintó más valla.,%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-1776266852050125961)%,The fraction 8/7 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 8/7 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.,%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-2581866815199191174)%,Liz is using exactly 1 pound of ground beef.,Liz está usando exactamente 1 libra de carne molida.,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.,%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-3172238760793930821)%,What is the numerator of the fraction 3/2? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 3/2? El numerador representa la cantidad de partes que debe contar.,%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.
%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(1289567620942478285)%,0/3,0/3,%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(1289567620942478285)%,0/3,0/3,%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica
%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(7162360408275603695)%,Enter 7 into the box and press OK.,Ingrese 7 en el cuadro y presione OK.,%(8606066164898619100)%,What is the numerator of the fraction 2/4? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 2/4? El numerador representa la cantidad de partes que debe contar.,%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(89691606676673418)%,The fraction 6/8 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 6/8 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(5830483870578762049)%,Amount Chris ate,Cantidad que Chris comió,%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-5747246348283825863)%,Jaime has less candy.,Jaime tiene menos caramelos.,%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto."
%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(-3214654429100953107)%,4/7,4/7,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(5054596058076007892)%,What is the numerator of the fraction 1/3? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 1/3? El numerador representa la cantidad de partes que debe contar.,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(5054596058076007892)%,What is the numerator of the fraction 1/3? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 1/3? El numerador representa la cantidad de partes que debe contar.,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(7162360408275603695)%,Enter 7 into the box and press OK.,Ingrese 7 en el cuadro y presione OK.,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(7162360408275603695)%,Enter 7 into the box and press OK.,Ingrese 7 en el cuadro y presione OK.,%(-5496784132634078556)%,Count 11 part(s) from the left and click on the spot.,Cuente 11 partes desde la izquierda y haga clic en el lugar.,%(1260008987967095125)%,Both of them were searching for the same amount of time.,Ambos estuvieron buscando por la misma cantidad de tiempo.,%(-1140385368624705192)%,Christa has been working for 4/5 hours.,Christa ha estado trabajando durante 4/5 horas.
%(6784020404)%,5,5,%(8441951456191747949)%,What is the numerator of the fraction 2/5? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 2/5? El numerador representa la cantidad de partes que debe contar.,%(6784020404)%,5,5,%(6784020404)%,5,5,%(6784020404)%,5,5,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(-962543404079237412)%,2/4,2/4,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(8947758364833894393)%,Heather has eaten 3/4 of her pie.,Heather se ha comido 3/4 de su pastel.,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(-5496784132634078556)%,Count 11 part(s) from the left and click on the spot.,Cuente 11 partes desde la izquierda y haga clic en el lugar.,%(-6013264046958865071)%,Enter 9 into the box and press OK.,Ingrese 9 en el cuadro y presione OK.,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(-346450572671536707)%,What is the numerator of the fraction 11/6? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 11/6? El numerador representa la cantidad de partes que debe contar.,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.,%(8454303276824746616)%,The numerator shows you how many %(line-h)%.,El numerador muestra cuántos %(línea-h)%.
%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(-3610954476612046309)%,The fraction 3/4 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 3/4 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-6013264046958865071)%,Enter 9 into the box and press OK.,Ingrese 9 en el cuadro y presione OK.,%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(7989028724943153784)%,The fraction 8/8 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 8/8 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(6890803921609961458)%,Enter 10 into the box and press OK.,Ingrese 10 en el cuadro y presione OK.,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(4753662652997551122)%,The fraction is %(frac)%. The denominator is %(den)%.,La fracción es %(frac)%. El denominador es %(den)%.,%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(6784020404)%,5,5,%(-5466765454154668976)%,6/4,6/4,%(-5181078986147862968)%,Hours Alicia has been working,Horas que ha estado trabajando Alicia
