Problem Name	Problem1	ProblemESP1	Problem2	ProblemESP2	Problem3	ProblemESP3	Problem4	ProblemESP4	Problem5	ProblemESP5	Problem6	Problem7	ProblemESP7	Problem8	ProblemESP8
%(startStateNodeName)%	example1	N/A	example2	N/A	example3	N/A	nan	N/A	nan	N/A	nan	nan	N/A	nan	N/A
%(statement)%	Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided.	Usando el conjunto de formas en la imagen, responda las preguntas 1 a 4 en la hoja de trabajo provista.	Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided.	Usando el conjunto de formas en la imagen, responda las preguntas 1 a 4 en la hoja de trabajo provista.	Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided.	Usando el conjunto de formas en la imagen, responda las preguntas 1 a 4 en la hoja de trabajo provista.	Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided.	Usando el conjunto de formas en la imagen, responda las preguntas 1 a 4 en la hoja de trabajo provista.	Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided.	Usando el conjunto de formas en la imagen, responda las preguntas 1 a 4 en la hoja de trabajo provista.	Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided.	Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided.	Usando el conjunto de formas en la imagen, responda las preguntas 1 a 4 en la hoja de trabajo provista.	Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided.	Usando el conjunto de formas en la imagen, responda las preguntas 1 a 4 en la hoja de trabajo provista.
%(graphic)%	Assets/01.png	Assets/01.png	Assets/02.png	Assets/02.png	Assets/03.png	Activos / 03.png	Assets/04.png	Assets/04.png	Assets/05.png	Assets/05.png	Assets/06.png	Assets/07.png	Assets/07.png	Assets/08.png	Assets/08.png
%(question1)%	(1) What percent of the shapes are squares?	(1) ¿Qué porcentaje de las formas son cuadrados?	(1) What percent of the shapes are green?	(1) ¿Qué porcentaje de las formas son verdes?	(1) What percent of the shapes are yellow?	(1) ¿Qué porcentaje de las formas son amarillas?	(1) What percent of the shapes are circles?	(1) ¿Qué porcentaje de las formas son círculos?	(1) What percent of the shapes are red or blue?	(1) ¿Qué porcentaje de las formas son rojas o azules?	(1) What percent of the shapes are not yellow?	(1) What percent of the shapes are squares?	(1) ¿Qué porcentaje de las formas son cuadrados?	(1) What percent of the shapes are blue circles?	(1) ¿Qué porcentaje de las formas son círculos azules?
%(question2)%	(2) What percent of the shapes are purple?	(2) ¿Qué porcentaje de las formas son moradas?	(2) What percent of the shapes are yellow?	(2) ¿Qué porcentaje de las formas son amarillas?	(2) What percent of the shapes are circles?	(2) ¿Qué porcentaje de las formas son círculos?	(2) What percent of the shapes are yellow?	(2) ¿Qué porcentaje de las formas son amarillas?	(2) What percent of the shapes are not purple?	(2) ¿Qué porcentaje de las formas no son moradas?	(2) What percent of the shapes are red circles?	(2) What percent of the shapes are purple?	(2) ¿Qué porcentaje de las formas son moradas?	(2) What percent of the shapes are yellow or green?	(2) ¿Qué porcentaje de las formas son amarillas o verdes?
%(question3)%	(3) What percent of the shapes are not blue?	(3) ¿Qué porcentaje de las formas no son azules?	(3) What percent of the shapes are blue?	(3) ¿Qué porcentaje de las formas son azules?	(3) What percent of the shapes are not yellow?	(3) ¿Qué porcentaje de las formas no son amarillas?	(3) What percent of the shapes are green or blue?	(3) ¿Qué porcentaje de las formas son verdes o azules?	(3) What percent of the shapes are squares?	(3) ¿Qué porcentaje de las formas son cuadrados?	(3) What percent of the shapes are purple?	(3) What percent of the shapes are yellow or blue?	(3) ¿Qué porcentaje de las formas son amarillas o azules?	(3) What percent of the shapes are not purple?	(3) ¿Qué porcentaje de las formas no son moradas?
%(question4)%	(4) What percent of the shapes are red?	(4) ¿Qué porcentaje de las formas son rojas?	(4) What percent of the shapes are not blue?	(4) ¿Qué porcentaje de las formas no son azules?	(4) What percent of the shapes are blue or red?	(4) ¿Qué porcentaje de las formas son azules o rojas?	(4) What percent of the shapes are squares?	(4) ¿Qué porcentaje de las formas son cuadrados?	(4) What percent of the shapes are blue squares?	(4) ¿Qué porcentaje de las formas son cuadrados azules?	(4) What percent of the shapes are not red?	(4) What percent of the shapes are circles?	(4) ¿Qué porcentaje de las formas son círculos?	(4) What percent of the shapes are squares?	(4) ¿Qué porcentaje de las formas son cuadrados?
%(type1)%	squares	N/A	green	N/A	yellow	N/A	circles	N/A	red or blue	N/A	not yellow	squares	N/A	blue circles	N/A
%(type2)%	purple	N/A	yellow	N/A	circles	N/A	yellow	N/A	not purple	N/A	red circles	purple	N/A	yellow or green	N/A
%(type3)%	not blue	N/A	blue	N/A	not yellow	N/A	green or blue	N/A	squares	N/A	purple	yellow or blue	N/A	not purple	N/A
