Problem Name	IntroProblem	IntroProblemESP	Problem1	Problem1ESP	Problem2	Problem2ESP	Problem3	Problem3ESP	Problem5	Problem5ESP	Problem6	Problem6ESP	Problem7	Problem7ESP	Problem8	Problem8ESP	Problem9	Problem9ESP	Problem10	Problem10ESP	Problem11	Problem11ESP	Problem12	Problem12ESP	Problem13	Problem13ESP	Problem14	Problem14ESP	Problem15	Problem15ESP	Problem16	Problem16ESP	Problem17	Problem17ESP	Problem18	Problem18ESP	Problem19	Problem19ESP	Problem20	Problem20ESP	Problem21	Problem21ESP	Problem22	Problem22ESP	Problem23	Problem23ESP	Problem24	Problem24ESP
%(startStateNodeName)%																																																
%(ProblemStatement)%	Kelly has 50 senior pictures. She is giving 32 to her family, and 18 to her friends. What percentage of the pictures is she giving to her family?	Kelly tiene 50 cuadros mayores. Le está dando 32 a su familia y 18 a sus amigos. ¿Qué porcentaje de las fotografías le está dando a su familia?	As part of their Get Fit campaign, the city of Tucson, Arizona recently attempted to set a record for the highest number of people performing aerobic exercise simultaneously. Of the city's 21000 inhabitants, 16590 people took part in the activity. What percentage is this? 	fracciones	Timothy is flying from Los Angeles to New York City. He will be flying a total of 5000 miles, and right now, as he looks out the window high above Oklahoma, he has flown 775 miles. What percentage is this? 	fracciones	Ed is installing carpeting in his house. He has to install 300 square feet of carpeting, and he has already installed 243 square feet. What percentage of the carpet has he installed?	Ed está instalando alfombras en su casa. Tiene que instalar 300 pies cuadrados de alfombra y ya ha instalado 243 pies cuadrados. ¿Qué porcentaje de la alfombra ha instalado?	Albert is reading a book that is 200 pages long. If he reads 72 pages over the weekend, what percentage of the total pages does that represent?	Albert está leyendo un libro de 200 páginas. Si lee 72 páginas durante el fin de semana, ¿Qué porcentaje del total de páginas representa eso?	A radio program that consists of 3 fictional stories is 75 minutes long. If one story accounts for 15 minutes of the program, what percentage of the total program does that story represent?	Un programa de radio que consta de 3 historias de ficción tiene una duración de 75 minutos. Si una historia representa 15 minutos del programa, ¿Qué porcentaje del programa total representa esa historia?	Jane is returning a poorly developed photograph to the shop. If the cost of her entire order was $8.00 and she was credited $0.12, what percent of the order was she credited?	Jane está devolviendo una fotografía mal revelada a la tienda. Si el costo de todo su pedido fue de $ 8,00 y se le acreditaron $ 0,12, ¿A qué porcentaje del pedido se le acreditó?	A political science student at a city university recently conducted an on-the-street poll of passersby, asking the question: Who is the current secretary of state? Remarkably, only 36 out of the 400 people he asked knew the correct answer! What percent of the individuals who were polled could identify the secretary of state?	Un estudiante de ciencias políticas en una universidad de la ciudad realizó recientemente una encuesta en la calle entre los transeúntes, haciendo la pregunta: ¿Quién es el actual secretario de estado? Sorprendentemente, ¡solo 36 de las 400 personas a las que preguntó sabían la respuesta correcta! ¿Qué porcentaje de las personas encuestadas pudo identificar al secretario de estado?	One local newscast tries to lure viewers with a flashy gimmick- Win by Watching. They send every resident of the city his/her own unique game number, promising $1000 each day to the viewer whose number is flashed across the screen sometime during the 6 o'clock news. However, an independent investigation team just revealed that, in the past 15 years, only 1625 out of the 25000 viewers in the tri-state area have actually won the contest. What percentage is this?	Un noticiero local intenta atraer a los espectadores con un truco llamativo: Gana mirando. Envían a cada residente de la ciudad su propio número de juego único, prometiendo $ 1000 cada día al espectador cuyo número aparece en la pantalla en algún momento durante las noticias de las 6 en punto. Sin embargo, un equipo de investigación independiente acaba de revelar que, en los últimos 15 años, solo 1625 de los 25000 espectadores en el área de los tres estados han ganado el concurso. ¿Qué porcentaje es este?	At the 2002 Winter Olympic Games in Salt Lake City, a total of 80 gold medals were awarded, 10 of those medals went to athletes from the Unites States. What percentage of the gold medalists were American?	En los Juegos Olímpicos de Invierno de 2002 en Salt Lake City, se otorgaron un total de 80 medallas de oro, 10 de esas medallas fueron para atletas de los Estados Unidos. ¿Qué porcentaje de los medallistas de oro eran estadounidenses?	A college undergraduate works in a coffee shop for extra money. If his shift is 5 hours long, and he spends 2 hours of his shift doing dishes, what percentage of his shift is spent doing the dishes?	Un estudiante universitario trabaja en una cafetería por dinero extra. Si su turno es de 5 horas y pasa 2 horas de su turno lavando platos, ¿Qué porcentaje de su turno se dedica a lavar los platos?	A roll of wrapping paper contains 25 square feet of paper. If you use 18 square feet to wrap a present, what percentage of the total amount of wrapping paper have you used?	Un rollo de papel de regalo contiene 25 pies cuadrados de papel. Si usa 18 pies cuadrados para envolver un regalo, ¿Qué porcentaje de la cantidad total de papel de regalo ha usado?	Emily's favorite movie is 130 minutes long. If she watches 91 minutes of the movie, what percentage has she watched?	La película favorita de Emily dura 130 minutos. Si ve 91 minutos de la película, ¿Qué porcentaje ha visto?	Ashley is intrigued with the notion that yawning is contagious, so she decided to test this theory by making informal observations of her classmates during the school year and tracking the results in a notebook she keeps with her. In total, Ashley observed 2400 instances of someone yawning, and 2022 of those resulted in a second person yawning soon after. What percentage of the instances revealed yawning contagion?	Ashley está intrigada con la idea de que bostezar es contagioso, por lo que decidió probar esta teoría haciendo observaciones informales de sus compañeros de clase durante el año escolar y registrando los resultados en un cuaderno que lleva consigo. En total, Ashley observó 2400 casos de alguien bostezando, y 2022 de ellos resultaron en que una segunda persona bostezara poco después. ¿Qué porcentaje de los casos reveló un contagio por bostezos?	Joan is shocked when she received her very first paycheck. Her earnings before taxes for her first month on the job were $2000, but after taxes she only received $1290. Since $710 was deducted, what percentage of Joan's earnings went to taxes?	Joan se sorprende cuando recibe su primer cheque de pago. Sus ganancias antes de impuestos durante su primer mes en el trabajo fueron de $ 2000, pero después de impuestos solo recibió $ 1290. Dado que se dedujeron $ 710, ¿qué porcentaje de las ganancias de Joan se destinó a impuestos?	A president's approval rating is determined by scientific polling of a sample of American citizens, who are simply asked if they approve of the job the president is doing. 2,000,000 American citizens were polled and 1,300,000 individuals reported approval with the current president. What is the president's approval rating as a percentage?	El índice de aprobación de un presidente se determina mediante una encuesta científica de una muestra de ciudadanos estadounidenses, a quienes simplemente se les pregunta si aprueban el trabajo que está haciendo el presidente. 2.000.000 de ciudadanos estadounidenses fueron encuestados y 1.300.000 personas informaron que estaban de acuerdo con el presidente actual. ¿Cuál es el índice de aprobación del presidente como porcentaje?	An encouraging survey by a local health organization revealed that, out of 6000 adults polled, 1980 participated in leisure-time physical activities on a regular basis. What percentage is this?	Una encuesta alentadora realizada por una organización de salud local reveló que, de 6000 adultos encuestados, 1980 participaron en actividades físicas de tiempo libre de forma regular. ¿Qué porcentaje es este?	The cafeteria staff of your school thinks it has come up with a great new idea for a healthy lunchtime meal - tofu burgers and tofu ice cream. However, on the first day this alternative meal was offered, only 10 students out of 500 in your school opted for it. What percent of the student body sampled the all-tofu meal?	El personal de la cafetería de su escuela cree que se le ha ocurrido una gran idea nueva para una comida saludable a la hora del almuerzo: hamburguesas de tofu y helado de tofu. Sin embargo, el primer día que se ofreció esta comida alternativa, solo 10 estudiantes de 500 en su escuela optaron por ella. ¿Qué porcentaje del alumnado probó la comida de tofu?	Lisa is purchasing a pair of jeans from the clearance rack. The original price was $85.00, and the clearance price is $48.45. What percentage of the total price does the clearance price represent?	Lisa está comprando un par de jeans del estante de liquidación. El precio original era de $ 85,00 y el precio de liquidación es de $ 48,45. ¿Qué porcentaje del precio total representa el precio de liquidación?	You decide to buy a new computer on one of the nation's sales tax holidays. If the regular price of the computer is $1500 and you save $105 by not having to pay any sales tax on the machine, what is the sales tax percentage in your area?	Decide comprar una computadora nueva en una de las vacaciones de impuestos sobre las ventas del país. Si el precio normal de la computadora es de $ 1500 y ahorra $ 105 al no tener que pagar ningún impuesto sobre las ventas de la máquina, ¿Cuál es el porcentaje del impuesto sobre las ventas en su área?	Julie just took a job as a telemarketer, selling, of all things, light bulbs over the phone! Surprisingly, Julie's first week is pretty successful for a rookie. Out of the 300 individuals she called, 189 agreed to buy at least one of the company's products! What is Julie's success rate as a percentage?	Julie acaba de aceptar un trabajo como vendedora telefónica, vendiendo, de todas las cosas, bombillas por teléfono. Sorprendentemente, la primera semana de Julie es bastante exitosa para un novato. De las 300 personas a las que llamó, ¡189 acordaron comprar al menos uno de los productos de la compañía! ¿Cuál es la tasa de éxito de Julie como porcentaje?	Chelsea completed 240 math problems in a competition. If 30 of those problems were geometry problems, what percentage of the problems were geometry problems?	Chelsea completó 240 problemas de matemáticas en una competencia. Si 30 de esos problemas eran problemas de geometría, ¿Qué porcentaje de los problemas eran problemas de geometría?	Alex practiced his driving regularly in the weeks before his driving exam, and his efforts paid off. During the on-road test, the DMV agent who accompanied Alex deducted points for every driving error made. Fortunately, out of the 175 possible points for the test, the agent only deducted 7 points when Alex forgot to use his turn signal when parallel parking. What is Alex's test score as a percentage?	Alex practicó su conducción con regularidad en las semanas previas a su examen de conducir, y sus esfuerzos dieron sus frutos. Durante la prueba en la carretera, el agente del DMV que acompañó a Alex dedujo puntos por cada error de conducción cometido. Afortunadamente, de los 175 puntos posibles para la prueba, el agente solo dedujo 7 puntos cuando Alex olvidó usar su señal de giro cuando estacionó en paralelo. ¿Cuál es la puntuación de la prueba de Alex como porcentaje?	A dinner costs $35.00, and the waiter receives a $5.25 tip. What percentage tip did the waiter receive?	Una cena cuesta $ 35.00 y el mesero recibe una propina de $ 5.25. ¿Qué porcentaje de propina recibió el camarero?
%(Part)%	32	32	16590	16590	775	775	243	243	72	72	15	15	0.12	0.12	36	36	1625	1625	10	10	2	2	18	18	91	91	2022	2022	710	710	1300000	1300000	1980	1980	10	10	48.45	48.45	105	105	189	189	30	30	168	168	5.25	5.25
%(Part-Hint1)%	How many pictures did Kelly give to her family?	¿Cuántas fotos le dio Kelly a su familia?	What is the number of people who took part in the activity?	¿Cuál es el número de personas que participaron en la actividad?	How many miles has Timothy already covered?	¿Cuántas millas ya recorrió Timothy?	How much carpeting has Ed already installed in his house?	¿Cuánta alfombra ha instalado Ed en su casa?	How many pages did Albert already read from the book?	¿Cuántas páginas ya leyó Albert del libro?	What is the length of one story?	¿Cuál es la longitud de una historia?	How much credit did the shop return to Jane?	¿Cuánto crédito le devolvió la tienda a Jane?	How many people answered the question correctly?	¿Cuántas personas respondieron correctamente a la pregunta?	How many viewers have won the contest in the last 15 years?	¿Cuántos espectadores han ganado el concurso en los últimos 15 años?	How many athletes from team USA won gold medals during the Winter Olympics?	¿Cuántos atletas del equipo de Estados Unidos ganaron medallas de oro durante los Juegos Olímpicos de Invierno?	How much time does the student spend doing dishes?	¿Cuánto tiempo pasa el alumno lavando platos?	How much wrapping paper was used to wrap the present?	¿Cuánto papel de regalo se utilizó para envolver el presente?	How much of the movie has Emily seen?	¿Cuánto de la película ha visto Emily?	How many secondary yawns did Ashley see?	¿Cuántos bostezos secundarios vio Ashley?	How much of Joan's salary went to taxes?	¿Cuánto del salario de Joan se destinó a impuestos?	How many citizens approved of the president's performance?	¿Cuántos ciudadanos aprobaron el desempeño del presidente?	How many adults regularly participated in physical activities?	¿Cuántos adultos participaron regularmente en actividades físicas?	How many students tried the healthy meal?	¿Cuántos estudiantes probaron la comida saludable?	How much did Lisa spend on the pair of jeans?	¿Cuánto gastó Lisa en el par de jeans?	How much did you save by not paying tax?	¿Cuánto ahorraste al no pagar impuestos?	How many customers agreed to buy the company's products?	¿Cuántos clientes aceptaron comprar los productos de la empresa?	How many geometry problems were there in the math competition?	¿Cuántos problemas de geometría hubo en la competencia de matemáticas?	What was Alex's test score?	¿Cuál fue la puntuación de la prueba de Alex?	How much tip did the waiter receive?	¿Cuánta propina recibió el camarero?
%(Alex-ex-hint)%																																													If 7 points are deducted from the 175 possible points, how many points did Alex earn?	¿Cuál fue la puntuación de la prueba de Alex?		
%(Alex-ex-hint2)%																																													What is 175 - 7?	¿Cuánto es 175 - 7?		
%(ComboOpt1)%	pictures Kelly gave to her family	fotos que Kelly le dio a su familia	people who took part in the activity	personas que participaron en la actividad	miles between New York City and Oklahoma		total sq.ft. of carpeting to be installed	pies cuadrados totales de moqueta para instalar	total number of pages in the book	número total de páginas del libro	length of one story	longitud de una historia	total cost of the order ($)	costo total del pedido ($)	people who answered incorrectly		total number of people in the tri-state area	número total de personas en el área tri-estatal	number of non-American gold medalists		hours spent doing dishes	horas dedicadas a lavar platos	sq.ft. of wrapping paper used for the present	pies cuadrados de papel de regalo utilizado para el presente	minutes of the movie Emily has yet to watch		number of yawns that induced secondary yawns	número de bostezos que indujeron bostezos secundarios	Joan's salary after it was taxed ($)		citizens that approved of the president's performance	ciudadanos que aprobaron el desempeño del presidente	number of adults who worked out regularly	número de adultos que hacen ejercicio con regularidad	total number of students in the school	número total de estudiantes en la escuela	amount saved from the clearance ($)		sales tax on the computer ($)	impuesto sobre las ventas en la computadora ($)	customers who bought light bulbs	clientes que compraron bombillas	total number of problems	número total de problemas	number of points awarded	número de puntos otorgados	tip received by the waiter ($)	propina recibida por el camarero ($)
%(ComboOpt2)%	pictures Kelly gave to her friends	fotos que Kelly le dio a su familia	people who didn't take part in the activity	personas que participaron en la actividad	miles between Los Angeles and New York City	millas entre Los Ángeles y Nueva York	sq.ft. of carpeting already installed	pies cuadrados de moqueta ya instalada	pages already read by Albert	páginas ya leídas por Albert	length of two stories	longitud de una historia	credit Jane received ($)	crédito que Jane recibió ($)	people who answered correctly	personas que respondieron correctamente	people who didn't win the contest	número total de personas en el área tri-estatal	number of American gold medalists	número de medallistas de oro estadounidenses	hours spent doing other tasks	horas dedicadas a lavar platos	total sq.ft. of wrapping paper	pies cuadrados totales de papel de regalo	minutes of the movie Emily has already watched	minutos de la película que Emily ya ha visto	total number of yawns observed	número total de bostezos observados	total tax withheld ($)	impuesto total retenido ($)	total number of American citizens that were in the poll	número total de ciudadanos estadounidenses que participaron en la encuesta	number of adults who did not work out regularly	número de adultos que hacen ejercicio con regularidad	number of students who opted for the non-tofu meal	número total de estudiantes en la escuela	clearance price of the jeans ($)	precio de liquidación de los jeans ($)	price of the computer not including tax ($)	precio de la computadora sin incluir impuestos ($)	customers who did not buy light bulbs	clientes que compraron bombillas	number of geometry problems	número de problemas de geometría	number of points deducted	número de puntos otorgados	cost of dinner without tip ($)	costo de la cena sin propina ($)
%(ComboOpt3)%	total number of senior pictures	número total de fotografías de personas mayores	total inhabitants of Tuscon	Habitantes totales de Tucson	miles between Los Angeles and Oklahoma	millas entre Los Ángeles y Oklahoma	sq.ft. of carpeting not yet installed	pies cuadrados de moqueta ya instalada	pages left to be read by Albert	páginas ya leídas por Albert	length of three stories	longitud de tres historias	amount Jane lost in this order ($)	crédito que Jane recibió ($)	total number of people in the poll	número total de personas en la encuesta	people who won the contest	personas que ganaron el concurso	total number of gold medalists	número total de medallistas de oro	total length of a shift	duración total de un turno	sq.ft. of wrapping paper saved after wrapping present	pies cuadrados totales de papel de regalo	length of the entire movie	duración de toda la película	number of independent yawns	número total de bostezos observados	Joan's salary before it was taxed ($)	Salario de Joan antes de pagar impuestos ($)	citizens that did not approve of the president's performace	número total de ciudadanos estadounidenses que participaron en la encuesta	total number of adults in the survey	número total de adultos en la encuesta	number of students who opted for the tofu meal	número de estudiantes que optaron por la comida de tofu	original price of the jeans ($)	precio original de los jeans ($)	price of the computer including tax ($)	precio de la computadora sin incluir impuestos ($)	customers who were on the phone with Julie	clientes que estaban hablando por teléfono con Julie	number of non-geometry problems	número de problemas de geometría	total number of points	número total de puntos	cost of dinner including tip ($)	costo de la cena sin propina ($)
%(Combo1-Hint)%	What number of the senior pictures are you representing in the numerator of this fraction?	¿Qué número de dibujos de personas mayores estás representando en el numerador de esta fracción?	Which part of the population are you representing in the numerator of this fraction?	¿Qué parte de la población representas en el numerador de esta fracción?	Which part of the journey are you representing in the numerator of this fraction?	¿Qué parte del viaje representas en el numerador de esta fracción?	What part of the carpet installation are you representing in the numerator of this fraction?	¿Qué parte de la instalación de la alfombra representa en el numerador de esta fracción?	What part of Albert's reading are you representing in the numerator of this fraction?	¿Qué parte de la lectura de Albert representas en el numerador de esta fracción?	What part of the radio program are you representing in the numerator of this fraction?	¿Qué parte del programa de radio representas en el numerador de esta fracción?	What part of the total order are you representing in the numerator of this fraction?	¿Qué parte del orden total representas en el numerador de esta fracción?	Which participants in the poll are you representing in the numerator of this fraction?	¿A qué participantes de la encuesta representas en el numerador de esta fracción?	Which viewers are you trying to represent in the numerator of this fraction?	¿Qué espectadores intenta representar en el numerador de esta fracción?	Which gold medalists are you trying to represent in the numerator of this fraction?	¿Qué medallistas de oro estás tratando de representar en el numerador de esta fracción?	Which part of the student's shift are you trying to represent as the numerator of this fraction?	¿Qué parte del turno del estudiante estás tratando de representar como numerador de esta fracción?	Which quantity of the wrapping paper represents the numerator of this fraction?	¿Qué cantidad de papel de regalo representa el numerador de esta fracción?	How many minutes of the movie represents the numerator of this fraction?	¿Cuántos minutos de la película representa el numerador de esta fracción?	What number of  yawns represents the numerator of this fraction?	¿Qué número de bostezos representa el numerador de esta fracción?	What part of Joan's salary is represented as the numerator of this fraction?	¿Qué parte del salario de Joan se representa como el numerador de esta fracción?	What part of the poll is going to be represented as the numerator of this fraction?	¿Qué parte de la encuesta se representará como numerador de esta fracción?	What part of the survey is going to be represented as the numerator of this fraction?	¿Qué parte de la encuesta se representará como numerador de esta fracción?	What part of the student body is being represented as the numerator of this fraction?	¿Qué parte del alumnado se representa como numerador de esta fracción?	Which price represents the numerator of this fraction?	¿Qué precio representa el numerador de esta fracción?	Which amount is the numerator of this fraction?	¿Qué cantidad es el numerador de esta fracción?	How many people represent the numerator of this fraction?	¿Cuántas personas representan el numerador de esta fracción?	What part of the math problems are you representing as the numerator of this fraction?	¿Qué parte de los problemas de matemáticas representas como numerador de esta fracción?	What part of Alex's score will be represented as the numerator of this fraction?	¿Qué parte de la puntuación de Alex se representará como el numerador de esta fracción?	Which value represents the numerator of the fraction?	¿Qué valor representa el numerador de la fracción?
